trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
2776,2776_0,ABANDONED,SOBOL,,,,2780,24,354,377,782
2777,2777_0,ABANDONED,SOBOL,,,,58,97,16,1786,1232
2778,2778_0,ABANDONED,SOBOL,,,,1996,62,488,771,1505
2779,2779_0,ABANDONED,SOBOL,,,,4581,71,148,1423,446
2780,2780_0,COMPLETED,SOBOL,0.170000000000000012212453270877,75.000000000000000000000000000000,0.000000000000000000000000000000,4361,45,73,1045,222
2781,2781_0,ABANDONED,SOBOL,,,,1641,84,296,635,1796
2782,2782_0,ABANDONED,SOBOL,,,,1077,11,207,1682,1444
2783,2783_0,ABANDONED,SOBOL,,,,3665,114,428,31,510
2784,2784_0,ABANDONED,SOBOL,,,,3732,43,260,881,1887
2785,2785_0,ABANDONED,SOBOL,,,,1010,82,106,1283,65
2786,2786_0,ABANDONED,SOBOL,,,,1708,13,392,268,666
2787,2787_0,ABANDONED,SOBOL,,,,4294,116,240,1927,1348
2788,2788_0,ABANDONED,SOBOL,,,,4651,30,41,1540,1076
2789,2789_0,ABANDONED,SOBOL,,,,1927,103,326,138,878
2790,2790_0,ABANDONED,SOBOL,,,,127,56,173,1185,356
2791,2791_0,ABANDONED,SOBOL,,,,2711,65,459,525,1662
2792,2792_0,ABANDONED,SOBOL,,,,2937,7,126,43,176
2793,2793_0,ABANDONED,SOBOL,,,,526,126,474,1640,1868
2794,2794_0,ABANDONED,SOBOL,,,,2466,33,26,688,1392
2795,2795_0,ABANDONED,SOBOL,,,,4737,88,372,1027,591
2796,2796_0,ABANDONED,SOBOL,,,,3893,50,407,1379,866
2797,2797_0,ABANDONED,SOBOL,,,,1484,75,194,782,1183
2798,2798_0,ABANDONED,SOBOL,,,,922,20,307,1766,1581
2799,2799_0,ABANDONED,SOBOL,,,,3195,109,91,427,405
2800,2800_0,ABANDONED,SOBOL,,,,3430,17,493,1200,1253
2801,2801_0,ABANDONED,SOBOL,,,,688,104,154,603,701
2802,2802_0,ABANDONED,SOBOL,,,,1406,55,346,1587,38
2803,2803_0,ABANDONED,SOBOL,,,,3971,78,5,248,1980
2804,2804_0,ABANDONED,SOBOL,,,,4972,36,212,347,1689
2805,2805_0,FAILED,SOBOL,,,,2232,93,436,1943,263
2806,2806_0,ABANDONED,SOBOL,,,,448,2,64,990,973
2807,2807_0,ABANDONED,SOBOL,,,,3015,123,287,1330,1040
2808,2808_0,ABANDONED,SOBOL,,,,2633,61,112,1844,558
2809,2809_0,ABANDONED,SOBOL,,,,205,68,270,442,1490
2810,2810_0,ABANDONED,SOBOL,,,,2162,27,228,1489,1779
2811,2811_0,COMPLETED,SOBOL,0.170000000000000012212453270877,229.000000000000000000000000000000,0.000000000000000000000000000000,4417,98,388,829,207
2812,2812_0,ABANDONED,SOBOL,,,,4216,8,330,703,494
2813,2813_0,ABANDONED,SOBOL,,,,1786,113,52,1105,1551
2814,2814_0,ABANDONED,SOBOL,,,,1245,46,446,90,1215
2815,2815_0,ABANDONED,SOBOL,,,,3498,87,170,1750,767
