trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
472,472_0,COMPLETED,SOBOL,0.630000000000000004440892098501,554.000000000000000000000000000000,0.100000000000000005551115123126,3380,90,0.896690642595291187433304003207,0.281106812473386535877750702639,str\(\'intersection\'\),0.095766808735206723768307313094,False
473,473_0,COMPLETED,SOBOL,0.579999999999999960031971113494,4496.000000000000000000000000000000,0.000000000000000000000000000000,1757,4114,0.197878006143495432933576694268,0.885745573420077536574979149009,str\(\'kl\'\),0.031144192460924390031262731782,True
474,474_0,COMPLETED,SOBOL,0.579999999999999960031971113494,10863.000000000000000000000000000000,0.000000000000000000000000000000,1791,1091,0.914217442460358187261704188131,0.463669189414009474958788814547,str\(\'kl\'\),0.051221481552347548904524643376,True
475,475_0,COMPLETED,SOBOL,0.579999999999999960031971113494,495.000000000000000000000000000000,0.000000000000000000000000000000,3424,4411,0.238825865244492896444228335895,0.825603090627118896271952053212,str\(\'intersection\'\),0.075590190738439561046746462125,False
476,476_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1191.000000000000000000000000000000,0.000000000000000000000000000000,4534,2382,0.713735803987830874639541889337,0.219256140338256966249019797033,str\(\'intersection\'\),0.093146151136606930576178342562,True
477,477_0,COMPLETED,SOBOL,0.579999999999999960031971113494,2048.000000000000000000000000000000,0.000000000000000000000000000000,566,3437,0.381381274441257134277805107558,0.573452651986852246501769059250,str\(\'kl\'\),0.022415822902694344798124603813,False
478,478_0,COMPLETED,SOBOL,0.579999999999999960031971113494,932.000000000000000000000000000000,0.000000000000000000000000000000,1090,1261,0.116883041501045226162602830300,0.632304222755134093247875171073,str\(\'kl\'\),0.040207280917093163319364634845,True
479,479_0,COMPLETED,SOBOL,0.589999999999999968913755310496,582.000000000000000000000000000000,0.020000000000000000416333634234,3812,2942,0.792265816731378413884101519216,0.019931403428316115528096119647,str\(\'intersection\'\),0.064225112237036238727050374564,False
480,480_0,COMPLETED,SOBOL,0.569999999999999951150186916493,614.000000000000000000000000000000,0.000000000000000000000000000000,2588,287,0.255041882161051058908185495966,0.876718703199177995522006767715,str\(\'intersection\'\),0.081781887356191879101530162188,True
481,481_0,COMPLETED,SOBOL,0.579999999999999960031971113494,4450.000000000000000000000000000000,0.000000000000000000000000000000,2200,4233,0.587405217410996605131856540538,0.272080418135970836246428916638,str\(\'kl\'\),0.011401065038517118471750322328,False
482,482_0,COMPLETED,SOBOL,0.589999999999999968913755310496,617.000000000000000000000000000000,0.010000000000000000208166817117,2110,2058,0.332113910598680395214188365571,0.076730304697528478596879608631,str\(\'intersection\'\),0.029792434638366102617190733781,True
483,483_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1728.000000000000000000000000000000,0.000000000000000000000000000000,2987,3738,0.514355739116668653210240336193,0.711585280017927312989911570185,str\(\'kl\'\),0.097052455469965936973864018000,False
484,484_0,COMPLETED,SOBOL,0.579999999999999960031971113494,656.000000000000000000000000000000,0.000000000000000000000000000000,4370,771,0.034085675599053504025715000125,0.321632086111232617930966171116,str\(\'kl\'\),0.066796343680471187420621959063,True
485,485_0,COMPLETED,SOBOL,0.579999999999999960031971113494,607.000000000000000000000000000000,0.000000000000000000000000000000,847,4716,0.871285236600786494598480658169,0.964221595695242239543176765437,str\(\'intersection\'\),0.048798330510035160811899146438,False
486,486_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1156.000000000000000000000000000000,0.000000000000000000000000000000,9,588,0.636786700343713207850271373900,0.765875249203294528044239086739,str\(\'intersection\'\),0.018746133325621486265255555281,True
487,487_0,COMPLETED,SOBOL,0.579999999999999960031971113494,2088.000000000000000000000000000000,0.000000000000000000000000000000,4777,3909,0.454551294393837457263884971326,0.379520442683249692450431211910,str\(\'kl\'\),0.085653903000056749728052807313,False
488,488_0,RUNNING,SOBOL,,,,3513,1566,0.997135539630428002766393547063,0.520974891722202348987025288807,str\(\'kl\'\),0.055396889317780736994301094001,True
489,489_0,COMPLETED,SOBOL,0.579999999999999960031971113494,492.000000000000000000000000000000,0.000000000000000000000000000000,1391,2623,0.159929552342742670179021047261,0.126882695637643344577227821901,str\(\'intersection\'\),0.037752501936629420664637279970,False
