trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
10,10_0,COMPLETED,SOBOL,0.520000000000000017763568394003,34.000000000000000000000000000000,0.000000000000000000000000000000,4814,4031,0.952131962608546045245816458191,0.220338724143803121879869877375,str\(\'intersection\'\),0.076641287514939912539624344845,True
11,11_0,COMPLETED,SOBOL,0.520000000000000017763568394003,21.000000000000000000000000000000,0.000000000000000000000000000000,361,2370,0.064565033091232182371754788619,0.721990963147953190848227222887,str\(\'kl\'\),0.032916098041459923573270884845,False
12,12_0,COMPLETED,SOBOL,0.520000000000000017763568394003,36.000000000000000000000000000000,0.000000000000000000000000000000,1060,4626,0.312333012396469711369206834206,0.549228410176932801967097930174,str\(\'kl\'\),0.020629592146724464590823444610,True
13,13_0,COMPLETED,SOBOL,0.520000000000000017763568394003,13.000000000000000000000000000000,0.000000000000000000000000000000,4105,1793,0.673115034848451587734530221496,0.048061035098508002316730625125,str\(\'intersection\'\),0.089667968265712272302181418127,False
14,14_0,COMPLETED,SOBOL,0.520000000000000017763568394003,14.000000000000000000000000000000,0.000000000000000000000000000000,3160,2554,0.220193565739318725116291375343,0.914059568114578668840408681717,str\(\'intersection\'\),0.059178803777322180890152480970,True
15,15_0,COMPLETED,SOBOL,0.520000000000000017763568394003,20.000000000000000000000000000000,0.000000000000000000000000000000,1364,1049,0.856915648531168749890696290095,0.416257685648277420131790904634,str\(\'kl\'\),0.051927450867369780163063097689,False
16,16_0,COMPLETED,SOBOL,0.520000000000000017763568394003,19.000000000000000000000000000000,0.000000000000000000000000000000,1560,2787,0.436548777418211075840304147277,0.670319994550198305915955643286,str\(\'intersection\'\),0.091649547573179016013433795251,False
17,17_0,COMPLETED,SOBOL,0.520000000000000017763568394003,32.000000000000000000000000000000,0.000000000000000000000000000000,3356,1129,0.546982768066227476033702714631,0.168672337783500547736537100718,str\(\'kl\'\),0.017249822877347470440057009000,True
18,18_0,COMPLETED,SOBOL,0.520000000000000017763568394003,23.000000000000000000000000000000,0.000000000000000000000000000000,4222,4391,0.095976826643571253039333157631,0.800773064013570512464923467633,str\(\'kl\'\),0.054255248373374351245068680782,False
19,19_0,COMPLETED,SOBOL,0.520000000000000017763568394003,16.000000000000000000000000000000,0.000000000000000000000000000000,1176,1717,0.983048889387398983075172509416,0.303435052691027495885833786815,str\(\'intersection\'\),0.055442167939618237915144760564,True
20,20_0,COMPLETED,SOBOL,0.520000000000000017763568394003,11.000000000000000000000000000000,0.000000000000000000000000000000,478,3795,0.642213358648121346305970291723,0.475713184159249069526964603938,str\(\'intersection\'\),0.088161200135946277134380011375,False
21,21_0,COMPLETED,SOBOL,0.520000000000000017763568394003,26.000000000000000000000000000000,0.000000000000000000000000000000,4930,2293,0.280936424808576723499697891384,0.973535234047099962140237039421,str\(\'kl\'\),0.022287467215210202131636663125,True
22,22_0,COMPLETED,SOBOL,0.520000000000000017763568394003,26.000000000000000000000000000000,0.000000000000000000000000000000,2804,3363,0.825998654831200829207205060811,0.123125303681939843314374627425,str\(\'kl\'\),0.036562093654647465079676749156,False
