trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
1632,1632_0,RUNNING,SOBOL,,,,2346,1833,0.770839554172009222554606822086,0.360695814682170767806468347771,str\(\'kl\'\),0.048984799860045322161816727657,True
1633,1633_0,RUNNING,SOBOL,,,,4519,3118,0.419751803431659964438438237266,0.826937200231477653744605049724,str\(\'intersection\'\),0.084993366114795215748856094251,False
1634,1634_0,RUNNING,SOBOL,,,,3115,1194,0.524858269182965186949729741173,0.060809064138680694877603372106,str\(\'intersection\'\),0.064902054183185106661646557313,True
1635,1635_0,RUNNING,SOBOL,,,,4,4987,0.158696306800469755238225388894,0.503150093991309388385957390710,str\(\'kl\'\),0.023921273229643706670355385313,False
1636,1636_0,RUNNING,SOBOL,,,,1095,421,0.267528086056932790093298990541,0.717239955291152031513490783254,str\(\'kl\'\),0.034061576891690495405562444375,True
1637,1637_0,RUNNING,SOBOL,,,,3267,4203,0.914409759802743749013131946413,0.219811843052506450391092585051,str\(\'intersection\'\),0.099915235908702021427885142657,False
1638,1638_0,RUNNING,SOBOL,,,,4363,2299,0.029372171450406315412751112603,0.892437444182112793455985411128,str\(\'intersection\'\),0.074238019855692991000317704220,True
1639,1639_0,RUNNING,SOBOL,,,,1253,3593,0.661115151342004492285298056231,0.418910044552758320524077362279,str\(\'kl\'\),0.014586700964719057430074578008,False
1640,1640_0,RUNNING,SOBOL,,,,1609,923,0.067265617024153470659975084800,0.142189265755936516955060255896,str\(\'intersection\'\),0.029650969821959735628347232250,True
1641,1641_0,RUNNING,SOBOL,,,,4006,4638,0.745302936319261810638181486866,0.670295742152258733348446639866,str\(\'kl\'\),0.059337172629311686622433086313,False
1642,1642_0,RUNNING,SOBOL,,,,3540,1563,0.328077756879851245574997165022,0.465466464702039950385170641312,str\(\'kl\'\),0.079319350840523841772444768594,True
1643,1643_0,RUNNING,SOBOL,,,,830,2768,0.991040150707587552680877251987,0.970692403707653306277336469066,str\(\'intersection\'\),0.054516012985259300338558574595,False
1644,1644_0,RUNNING,SOBOL,,,,358,2024,0.569562930962070779195016712038,0.811057878315448732564618694596,str\(\'intersection\'\),0.020359593359753493102548560501,True
1645,1645_0,RUNNING,SOBOL,,,,2755,3239,0.249694594157859689476097742045,0.251764675229787848742546430003,str\(\'kl\'\),0.068629902265965950225456992939,False
1646,1646_0,RUNNING,SOBOL,,,,4789,144,0.822613591510802488748765881610,0.612469591544941072136509774282,str\(\'kl\'\),0.094284416101872922655324771313,True
1647,1647_0,RUNNING,SOBOL,,,,2079,3850,0.487607274677604451973422783340,0.076057282762601971515259435819,str\(\'intersection\'\),0.039549554316326979153117804344,False
1648,1648_0,RUNNING,SOBOL,,,,2027,306,0.695214401135221149452547706460,0.925930444441735778227098307980,str\(\'kl\'\),0.070259130503982317184075157002,False
1649,1649_0,RUNNING,SOBOL,,,,4864,4020,0.110158795790746805165483124256,0.386350238792598221770902000571,str\(\'intersection\'\),0.015916147166863084394528016219,True
1650,1650_0,RUNNING,SOBOL,,,,2517,2175,0.940677266836166370289618043898,0.742958750078454577270292702451,str\(\'intersection\'\),0.041529333526268606691100870876,False
1651,1651_0,RUNNING,SOBOL,,,,618,3382,0.371732585303485407735024637077,0.195117623547092083891030256382,str\(\'kl\'\),0.089493852164596321419054447688,True
1652,1652_0,RUNNING,SOBOL,,,,776,1391,0.200616595692932608852032672075,0.027259593611583116112839775269,str\(\'kl\'\),0.055688847517594702862808730970,False
1653,1653_0,RUNNING,SOBOL,,,,3612,2607,0.613653668656945261439261685155,0.535653072571381949629198970797,str\(\'intersection\'\),0.030487826243042949470041236282,True
1654,1654_0,RUNNING,SOBOL,,,,3766,782,0.438316320212557897217919844479,0.335042026322334984822504111435,str\(\'intersection\'\),0.050512361899018295985364090939,False
1655,1655_0,RUNNING,SOBOL,,,,1866,4486,0.867404593611136087716317888408,0.851696783076971719594894238980,str\(\'kl\'\),0.080509473299607642315933730970,True
1656,1656_0,RUNNING,SOBOL,,,,1523,2451,0.404808482984080897360001927154,0.582635363824665519771883737121,str\(\'intersection\'\),0.095212574666365984432658819969,False
1657,1657_0,RUNNING,SOBOL,,,,4116,3734,0.786628045545890941525613015983,0.104965933836996552774856183987,str\(\'kl\'\),0.035953456088900569154187536469,True
1658,1658_0,RUNNING,SOBOL,,,,3332,581,0.143478161782026297776937440176,0.773403760308399745859730955999,str\(\'kl\'\),0.010231136009097099859310731063,False
1659,1659_0,RUNNING,SOBOL,,,,1052,4375,0.541408886097371588874693770777,0.288401858115568732188194189803,str\(\'intersection\'\),0.075779369538649915538641721469,True
1660,1660_0,RUNNING,SOBOL,,,,272,1052,0.900358481086790507497141788917,0.495365126302465819119191792197,str\(\'intersection\'\),0.086271388586610556203915223250,False
1661,1661_0,RUNNING,SOBOL,,,,2865,4836,0.284145326659083374831737955901,0.941847829600796049298594425636,str\(\'kl\'\),0.044893246078863746628684339157,True
1662,1662_0,RUNNING,SOBOL,,,,4581,1663,0.646851392509415701326247472025,0.179785641994327310966284017013,str\(\'kl\'\),0.024846008205786349054555728344,False
1663,1663_0,RUNNING,SOBOL,,,,2301,2956,0.046689200574532151166717852675,0.633601174410432621542099695944,str\(\'intersection\'\),0.061165847834199676968935932564,True
1664,1664_0,RUNNING,SOBOL,,,,2270,29,0.888237053964287093243967774470,0.197915476391091943453304224931,str\(\'kl\'\),0.040272057270631198000465644782,False
1665,1665_0,RUNNING,SOBOL,,,,4599,3813,0.303210834424942732301389014538,0.738226430872455208209714783152,str\(\'intersection\'\),0.093551270142197620605095664814,True
