trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
100,100_0,COMPLETED,SOBOL,0.419999999999999984456877655248,328.000000000000000000000000000000,0.089999999999999996669330926125,84,89,0.379658436810597799127009466247,0.373537087142467472133944283996,447,EDFSMode.RANDOM
101,101_0,COMPLETED,SOBOL,0.600000000000000088817841970013,602.000000000000000000000000000000,1.000000000000000000000000000000,4363,11,0.739181437008082919959406353883,0.563293474642559854892454040964,667,EDFSMode.RANDOM
102,102_0,COMPLETED,SOBOL,0.570000000000000062172489379009,99.000000000000000000000000000000,1.000000000000000000000000000000,3329,71,0.120073639497160905564854260774,0.071264937175437803595912100718,932,EDFSMode.RANDOM
103,103_0,COMPLETED,SOBOL,0.550000000000000044408920985006,2465.000000000000000000000000000000,1.000000000000000000000000000000,2216,31,0.760954185498878388216326129623,0.865322938904166227835901281651,265,EDFSMode.RANDOM
104,104_0,COMPLETED,SOBOL,0.369999999999999995559107901499,31.000000000000000000000000000000,0.989999999999999991118215802999,2073,86,0.059139527317136529604990613507,0.526881936743855527893742873857,810,EDFSMode.RANDOM
105,105_0,COMPLETED,SOBOL,0.609999999999999986677323704498,3583.000000000000000000000000000000,1.000000000000000000000000000000,3458,13,0.821907336736097948737267415709,0.286904563231393683331305055617,136,EDFSMode.RANDOM
106,106_0,COMPLETED,SOBOL,0.619999999999999995559107901499,314.000000000000000000000000000000,0.989999999999999991118215802999,3833,55,0.442553014205768702193921626531,0.794040497777983578231442152173,353,EDFSMode.RANDOM
107,107_0,COMPLETED,SOBOL,0.560000000000000053290705182008,1682.000000000000000000000000000000,0.520000000000000017763568394003,609,47,0.676290670398622784098563442967,0.019990591436624526727738881959,565,EDFSMode.RANDOM
108,108_0,COMPLETED,SOBOL,0.570000000000000062172489379009,11804.000000000000000000000000000000,0.690000000000000057731597280508,1137,68,0.977802518425509359367708839272,0.145842154813930396928256527644,722,EDFSMode.RANDOM
109,109_0,COMPLETED,SOBOL,0.609999999999999986677323704498,125.000000000000000000000000000000,1.000000000000000000000000000000,4399,35,0.152720294922590260622285995851,0.915498695537447892967009011045,506,EDFSMode.RANDOM
110,110_0,COMPLETED,SOBOL,0.609999999999999986677323704498,1653.000000000000000000000000000000,1.000000000000000000000000000000,2892,98,0.520379632122814683725664508529,0.409102269053459144387829837797,321,EDFSMode.RANDOM
111,111_0,COMPLETED,SOBOL,0.560000000000000053290705182008,161.000000000000000000000000000000,0.640000000000000013322676295502,1546,1,0.348955735674127909273778413990,0.652483170537278001077652334061,991,EDFSMode.RANDOM
112,112_0,COMPLETED,SOBOL,0.609999999999999986677323704498,10220.000000000000000000000000000000,0.959999999999999964472863211995,1285,95,0.862285555871203590605489353038,0.123133463410660629056003756432,424,EDFSMode.RANDOM
113,113_0,COMPLETED,SOBOL,0.560000000000000053290705182008,96.000000000000000000000000000000,0.560000000000000053290705182008,3025,4,0.003273204315453767752203129149,0.815407542586326639089122636506,662,EDFSMode.RANDOM
114,114_0,COMPLETED,SOBOL,0.600000000000000088817841970013,1480.000000000000000000000000000000,0.979999999999999982236431605997,4687,65,0.637481877814978337148943410284,0.324048097297549242412628700549,840,EDFSMode.RANDOM
115,115_0,COMPLETED,SOBOL,0.619999999999999995559107901499,592.000000000000000000000000000000,1.000000000000000000000000000000,1035,37,0.497061202922835954076674624957,0.614735624147579096110405316722,163,EDFSMode.RANDOM
116,116_0,COMPLETED,SOBOL,0.589999999999999968913755310496,104.000000000000000000000000000000,0.760000000000000008881784197001,351,53,0.159245122216641915580126465102,0.736191189676523194407309347298,231,EDFSMode.RANDOM
117,117_0,COMPLETED,SOBOL,0.589999999999999968913755310496,12008.000000000000000000000000000000,0.989999999999999991118215802999,3964,50,0.955821947341784827756328013493,0.449897028444334878827248758171,912,EDFSMode.RANDOM
118,118_0,COMPLETED,SOBOL,0.600000000000000088817841970013,148.000000000000000000000000000000,1.000000000000000000000000000000,3748,83,0.341105074686929576888161363968,0.941004270358011152275423683022,703,EDFSMode.RANDOM
119,119_0,COMPLETED,SOBOL,0.609999999999999986677323704498,440.000000000000000000000000000000,0.989999999999999991118215802999,1969,17,0.543962049320340201852275185956,0.245326663210988032970405470223,468,EDFSMode.RANDOM
120,120_0,COMPLETED,SOBOL,0.520000000000000017763568394003,88.000000000000000000000000000000,0.989999999999999991118215802999,2494,74,0.279238290363922725401124580458,0.398591884121298811738398626403,600,EDFSMode.RANDOM
121,121_0,COMPLETED,SOBOL,0.609999999999999986677323704498,835.000000000000000000000000000000,1.000000000000000000000000000000,3217,28,0.605809802021831322882405856944,0.664938863052055184610367177811,372,EDFSMode.RANDOM
122,122_0,COMPLETED,SOBOL,0.609999999999999986677323704498,1720.000000000000000000000000000000,1.000000000000000000000000000000,4093,92,0.223049648318439736049967336839,0.158724224058911206336475174794,100,EDFSMode.RANDOM
123,123_0,COMPLETED,SOBOL,0.419999999999999984456877655248,794.000000000000000000000000000000,0.119999999999999995559107901499,208,7,0.892013617889955590101180860074,0.904561904132366145780963506695,788,EDFSMode.RANDOM
124,124_0,COMPLETED,SOBOL,0.520000000000000017763568394003,3224.000000000000000000000000000000,0.460000000000000019984014443253,930,80,0.699413263320922906629562021408,0.773848739249631711878407713812,969,EDFSMode.RANDOM
125,125_0,COMPLETED,SOBOL,0.619999999999999995559107901499,434.000000000000000000000000000000,1.000000000000000000000000000000,4776,20,0.435156463174149410466640119921,0.038236834183335302594919369312,285,EDFSMode.RANDOM
126,126_0,COMPLETED,SOBOL,0.560000000000000053290705182008,2813.000000000000000000000000000000,0.989999999999999991118215802999,2534,62,0.798423804780468371333768118348,0.545676382392644931940139940707,525,EDFSMode.RANDOM
127,127_0,COMPLETED,SOBOL,0.600000000000000088817841970013,84.000000000000000000000000000000,1.000000000000000000000000000000,1772,41,0.067146372891962527451603648387,0.266164572058245563201950290022,757,EDFSMode.RANDOM
128,128_0,COMPLETED,SOBOL,0.600000000000000088817841970013,3406.000000000000000000000000000000,0.989999999999999991118215802999,1778,100,0.717178578404709665683469665964,0.621067262265831199208321322658,463,EDFSMode.RANDOM
129,129_0,COMPLETED,SOBOL,0.500000000000000000000000000000,113.000000000000000000000000000000,1.000000000000000000000000000000,2503,3,0.421279116153717048121052357601,0.315768300013616665111726433679,680,EDFSMode.RANDOM
130,130_0,COMPLETED,SOBOL,0.589999999999999968913755310496,2362.000000000000000000000000000000,0.989999999999999991118215802999,4789,67,0.781171707727015052213914714230,0.821738334896042976751573405636,921,EDFSMode.RANDOM
131,131_0,COMPLETED,SOBOL,0.619999999999999995559107901499,158.000000000000000000000000000000,1.000000000000000000000000000000,903,32,0.080504791280254728302878675095,0.114852638144046073631621140976,251,EDFSMode.RANDOM
132,132_0,COMPLETED,SOBOL,0.570000000000000062172489379009,142.000000000000000000000000000000,0.530000000000000026645352591004,220,55,0.265306841339915999711251970439,0.238013533996418114035975577281,207,EDFSMode.RANDOM
133,133_0,COMPLETED,SOBOL,0.600000000000000088817841970013,308.000000000000000000000000000000,0.989999999999999991118215802999,4067,45,0.623642543846741337354444567609,0.950267202023416746037298707961,880,EDFSMode.RANDOM
134,134_0,COMPLETED,SOBOL,0.600000000000000088817841970013,131.000000000000000000000000000000,0.989999999999999991118215802999,3225,87,0.236460562603548168914002758356,0.442583049703389408424669682063,608,EDFSMode.RANDOM
135,135_0,COMPLETED,SOBOL,0.540000000000000035527136788005,1735.000000000000000000000000000000,0.989999999999999991118215802999,2462,15,0.874691893134266096332396500657,0.745453097077086512811661123123,394,EDFSMode.RANDOM
136,136_0,COMPLETED,SOBOL,0.609999999999999986677323704498,109.000000000000000000000000000000,0.989999999999999991118215802999,1982,71,0.172606485133990655844726802570,0.896282181205227956866110616829,737,EDFSMode.RANDOM
137,137_0,COMPLETED,SOBOL,0.600000000000000088817841970013,3587.000000000000000000000000000000,0.989999999999999991118215802999,3721,29,0.938572616361081579761105331272,0.165056055504828685931428822187,517,EDFSMode.RANDOM
138,138_0,COMPLETED,SOBOL,0.619999999999999995559107901499,357.000000000000000000000000000000,1.000000000000000000000000000000,3970,90,0.327230672195553795589262335852,0.656658201370388217021911714255,308,EDFSMode.RANDOM
139,139_0,COMPLETED,SOBOL,0.440000000000000002220446049250,264.000000000000000000000000000000,0.160000000000000003330669073875,320,12,0.561730130476877143053116014926,0.404922721045091749125788282981,974,EDFSMode.RANDOM
140,140_0,COMPLETED,SOBOL,0.560000000000000053290705182008,6335.000000000000000000000000000000,0.609999999999999986677323704498,1043,78,0.844968560207635110970159075805,0.275427578080445545349874691965,818,EDFSMode.RANDOM
141,141_0,COMPLETED,SOBOL,0.619999999999999995559107901499,344.000000000000000000000000000000,1.000000000000000000000000000000,4654,25,0.016688907178118824597978786528,0.538363446505740306236020842334,155,EDFSMode.RANDOM
142,142_0,COMPLETED,SOBOL,0.609999999999999986677323704498,1841.000000000000000000000000000000,1.000000000000000000000000000000,3036,58,0.655319348732009476776738665649,0.047498905168846250468561720481,332,EDFSMode.RANDOM
143,143_0,COMPLETED,SOBOL,0.600000000000000088817841970013,653.000000000000000000000000000000,0.979999999999999982236431605997,1258,41,0.483134542476385819842477076236,0.766534805122762952223069987667,556,EDFSMode.RANDOM
144,144_0,FAILED,SOBOL,,,,1538,61,0.991256260365247721111359169299,0.484766335789114211074490867759,214,EDFSMode.RANDOM
145,145_0,COMPLETED,SOBOL,0.540000000000000035527136788005,52.000000000000000000000000000000,0.989999999999999991118215802999,2924,39,0.135380488453432923368069396020,0.701324503408744970300858767587,899,EDFSMode.RANDOM
146,146_0,COMPLETED,SOBOL,0.600000000000000088817841970013,457.000000000000000000000000000000,0.979999999999999982236431605997,4387,80,0.506475786199793165387461613136,0.194433172972872853057069164606,714,EDFSMode.RANDOM
147,147_0,COMPLETED,SOBOL,0.600000000000000088817841970013,157.000000000000000000000000000000,0.989999999999999991118215802999,1163,22,0.366755163796246064222827953927,0.991902285207062917038456362206,484,EDFSMode.RANDOM
148,148_0,COMPLETED,SOBOL,0.570000000000000062172489379009,81.000000000000000000000000000000,0.709999999999999964472863211995,597,93,0.041852216744795445180216120207,0.873602994577959202082695355784,415,EDFSMode.RANDOM
149,149_0,COMPLETED,SOBOL,0.589999999999999968913755310496,938.000000000000000000000000000000,1.000000000000000000000000000000,3860,10,0.835291450973600135831986790436,0.064933494243770845111285439089,642,EDFSMode.RANDOM
150,150_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1627.000000000000000000000000000000,0.979999999999999982236431605997,3451,73,0.460298340324312438287535087511,0.571574524838477371346812105912,858,EDFSMode.RANDOM
151,151_0,COMPLETED,SOBOL,0.540000000000000035527136788005,1590.000000000000000000000000000000,1.000000000000000000000000000000,2104,26,0.662454251216724521178491613682,0.367206582965329264567344580428,170,EDFSMode.RANDOM
152,152_0,COMPLETED,SOBOL,0.419999999999999984456877655248,96.000000000000000000000000000000,1.000000000000000000000000000000,2205,84,0.397453076355159307109232713628,0.027303280087187888069966135163,954,EDFSMode.RANDOM
153,153_0,COMPLETED,SOBOL,0.609999999999999986677323704498,1243.000000000000000000000000000000,1.000000000000000000000000000000,3355,19,0.725272861992940276465446913789,0.784777300287038070969458658510,273,EDFSMode.RANDOM
154,154_0,COMPLETED,SOBOL,0.600000000000000088817841970013,128.000000000000000000000000000000,0.989999999999999991118215802999,4355,52,0.102729044450446962977174791831,0.294218276146799351256078125516,539,EDFSMode.RANDOM
155,155_0,COMPLETED,SOBOL,0.390000000000000013322676295502,2030.000000000000000000000000000000,0.070000000000000006661338147751,116,47,0.774403198346495624804219914949,0.517619588779285599855484178988,773,EDFSMode.RANDOM
156,156_0,COMPLETED,SOBOL,0.530000000000000026645352591004,1349.000000000000000000000000000000,0.530000000000000026645352591004,644,65,0.569378037216141774656819052325,0.646151564020663538023825367418,592,EDFSMode.RANDOM
157,157_0,COMPLETED,SOBOL,0.619999999999999995559107901499,228.000000000000000000000000000000,0.989999999999999991118215802999,4921,35,0.303871951837092646453442057464,0.417382280113175518909685024482,355,EDFSMode.RANDOM
158,158_0,FAILED,SOBOL,,,,2789,96,0.930314593534916633998932411487,0.909168117003515408036662392988,120,EDFSMode.RANDOM
159,159_0,COMPLETED,SOBOL,0.600000000000000088817841970013,71.000000000000000000000000000000,1.000000000000000000000000000000,1677,6,0.196325966069474805442141018830,0.154123011682182564641152566765,798,EDFSMode.RANDOM
160,160_0,COMPLETED,SOBOL,0.600000000000000088817841970013,202.000000000000000000000000000000,1.000000000000000000000000000000,1567,69,0.337755114279687407297103618475,0.351228242894634612447646304645,409,EDFSMode.RANDOM
161,161_0,COMPLETED,SOBOL,0.540000000000000035527136788005,479.000000000000000000000000000000,0.989999999999999991118215802999,2718,34,0.539393293684348518191029597801,0.587309089876711376554396792926,622,EDFSMode.RANDOM
162,162_0,COMPLETED,SOBOL,0.600000000000000088817841970013,128.000000000000000000000000000000,0.989999999999999991118215802999,4963,98,0.163935705883428456397510331044,0.080416792802512640503387331137,866,EDFSMode.RANDOM
163,163_0,COMPLETED,SOBOL,0.589999999999999968913755310496,496.000000000000000000000000000000,0.849999999999999977795539507497,724,1,0.958806427374482184156079256354,0.858363225674256713482179748098,193,EDFSMode.RANDOM
164,164_0,COMPLETED,SOBOL,0.330000000000000015543122344752,2095.000000000000000000000000000000,0.000000000000000000000000000000,1,86,0.632913612933829416995479277830,0.975923945136368264918758086424,265,EDFSMode.RANDOM
165,165_0,COMPLETED,SOBOL,0.600000000000000088817841970013,220.000000000000000000000000000000,0.989999999999999991118215802999,4279,14,0.493710781503468754127794682063,0.210167738011106858264653851620,935,EDFSMode.RANDOM
166,166_0,COMPLETED,SOBOL,0.609999999999999986677323704498,2864.000000000000000000000000000000,1.000000000000000000000000000000,3402,56,0.865270496916025866340760330786,0.716807801967486724059597236192,666,EDFSMode.RANDOM
167,167_0,COMPLETED,SOBOL,0.510000000000000008881784197001,34.000000000000000000000000000000,1.000000000000000000000000000000,2290,46,0.007963297227397560240635954187,0.469526566885411722473975260073,449,EDFSMode.RANDOM
168,168_0,COMPLETED,SOBOL,0.440000000000000002220446049250,3843.000000000000000000000000000000,0.989999999999999991118215802999,2155,89,0.803358024060726205739513261506,0.139370696179568764883072162775,570,EDFSMode.RANDOM
