trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
120,120_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4806,4608,0.646624934244900972934999572317,27,0.001
121,121_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,537,819,0.385471610097214589796266182020,7,0.25
122,122_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1683,2660,0.172452311897650367722434339157,23,0.05
123,123_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3660,1448,0.924832536630332491256467619678,45,0.01
124,124_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2888,3625,0.367671422606334064031585739940,18,0.005
125,125_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2474,2415,0.597660565044730862638289181632,41,0.05
126,126_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1015,4265,0.813473180323839195615676089801,32,0.001
127,127_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4347,476,0.092304725648835309059769826945,11,0.1
128,128_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4367,2858,0.271328176472336035640608997710,6,0.25
129,129_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,995,1568,0.509090635819360648461895380024,28,0.1
130,130_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2495,4718,0.793130669901147444811329023651,46,0.001
131,131_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2868,1008,0.048547552533447745071182310994,22,0.05
132,132_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3639,3755,0.744712204119190590567711751646,40,0.001
133,133_0,COMPLETED,SOBOL,0.920000000000000039968028886506,19.000000000000000000000000000000,0.959999999999999964472863211995,1705,44,0.475738926481455548511689812585,18,0.005
134,134_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,516,3203,0.190610903784632690349809536201,11,0.1
