trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
2226,2226_0,COMPLETED,SOBOL,0.560000000000000053290705182008,2.000000000000000000000000000000,0.959999999999999964472863211995,3432,383,0.273846957113593802990436643086,11,0.025
2227,2227_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1905,4167,0.933363941505551353294833916152,39,0.005
2228,2228_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.729999999999999982236431605997,1749,731,0.047153169311583045808511371888,2,0.001
2229,2229_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2956,4446,0.628682372082024820691970035114,49,0.005
2230,2230_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4489,1817,0.854243863914161960515514238068,31,0.05
2231,2231_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,841,3012,0.437788410209119294158597313071,21,0.001
2232,2232_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.460000000000000019984014443253,911,904,0.780292098451405791159629643516,12,0.01
2233,2233_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4384,4542,0.426705611802637552187889014021,41,0.025
2234,2234_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2870,1716,0.090398136578500265514435341174,35,0.001
2235,2235_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1800,2834,0.734796306405216426149706876458,19,0.05
2236,2236_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1970,1898,0.347068717312067731572966522435,29,0.1
2237,2237_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3322,3280,0.944689440488815312946258018201,19,0.025
2238,2238_0,COMPLETED,SOBOL,0.550000000000000044408920985006,2.000000000000000000000000000000,0.969999999999999973354647408996,4230,483,0.538221556082367880158301431948,1,0.01
