trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
4240,4240_0,ABANDONED,SOBOL,,,,413,1294,646,127,147
4241,4241_0,ABANDONED,SOBOL,,,,2488,4148,461,78,230
4242,4242_0,FAILED,SOBOL,,,,4787,349,945,227,110
4243,4243_0,RUNNING,SOBOL,,,,3985,4460,511,194,68
4244,4244_0,FAILED,SOBOL,,,,864,3587,837,160,158
4245,4245_0,ABANDONED,SOBOL,,,,3252,2230,323,11,57
4246,4246_0,RUNNING,SOBOL,,,,3391,3664,661,239,238
4247,4247_0,ABANDONED,SOBOL,,,,777,2462,176,92,104
4248,4248_0,RUNNING,SOBOL,,,,1518,4539,987,144,23
4249,4249_0,ABANDONED,SOBOL,,,,3905,897,471,59,138
4250,4250_0,RUNNING,SOBOL,,,,2280,586,561,173,35
4251,4251_0,FAILED,SOBOL,,,,602,2726,375,126,91
4252,4252_0,FAILED,SOBOL,,,,2902,1526,860,211,194
4253,4253_0,RUNNING,SOBOL,,,,2634,4851,259,166,121
4254,4254_0,ABANDONED,SOBOL,,,,246,1209,775,2,221
4255,4255_0,FAILED,SOBOL,,,,4623,2153,574,101,5
4256,4256_0,RUNNING,SOBOL,,,,4174,3040,883,69,49
4257,4257_0,FAILED,SOBOL,,,,1875,1840,398,233,168
4258,4258_0,ABANDONED,SOBOL,,,,1046,3913,709,35,208
4259,4259_0,RUNNING,SOBOL,,,,3748,270,193,137,77
4260,4260_0,RUNNING,SOBOL,,,,3734,3925,311,86,43
4261,4261_0,FAILED,SOBOL,,,,1045,262,794,249,174
4262,4262_0,FAILED,SOBOL,,,,4168,1847,625,150,83
4263,4263_0,FAILED,SOBOL,,,,4616,3343,925,183,96
4264,4264_0,ABANDONED,SOBOL,,,,1994,2160,411,20,246
4265,4265_0,RUNNING,SOBOL,,,,244,4863,720,216,130
4266,4266_0,RUNNING,SOBOL,,,,2621,1201,237,115,30
4267,4267_0,ABANDONED,SOBOL,,,,2899,2719,647,12,160
4268,4268_0,FAILED,SOBOL,,,,591,1538,133,161,56
4269,4269_0,RUNNING,SOBOL,,,,2272,4236,942,107,69
4270,4270_0,ABANDONED,SOBOL,,,,4963,573,459,193,216
4271,4271_0,ABANDONED,SOBOL,,,,1509,885,509,78,113
4272,4272_0,FAILED,SOBOL,,,,766,3656,325,128,13
4273,4273_0,ABANDONED,SOBOL,,,,3387,2474,839,41,148
4274,4274_0,FAILED,SOBOL,,,,3253,3575,174,210,94
4275,4275_0,ABANDONED,SOBOL,,,,877,2237,658,125,193
4276,4276_0,ABANDONED,SOBOL,,,,1381,4472,472,174,182
4277,4277_0,ABANDONED,SOBOL,,,,4004,653,988,27,33
4278,4278_0,RUNNING,SOBOL,,,,4805,4160,563,60,22
4279,4279_0,ABANDONED,SOBOL,,,,427,2639,857,92,235
4280,4280_0,RUNNING,SOBOL,,,,3117,1301,373,239,105
4281,4281_0,ABANDONED,SOBOL,,,,2770,4783,778,138,211
4282,4282_0,ABANDONED,SOBOL,,,,148,964,262,35,76
4283,4283_0,RUNNING,SOBOL,,,,2147,3266,573,232,49
4284,4284_0,ABANDONED,SOBOL,,,,4350,2953,396,101,154
4285,4285_0,RUNNING,SOBOL,,,,1659,1615,881,203,8
4286,4286_0,ABANDONED,SOBOL,,,,1223,3843,195,2,118
4287,4287_0,ABANDONED,SOBOL,,,,3531,26,712,167,222
4288,4288_0,RUNNING,SOBOL,,,,3487,3091,966,238,27
4289,4289_0,ABANDONED,SOBOL,,,,1111,1792,451,89,127
4290,4290_0,ABANDONED,SOBOL,,,,1615,4021,640,147,249
4291,4291_0,ABANDONED,SOBOL,,,,4238,163,157,60,99
4292,4292_0,ABANDONED,SOBOL,,,,4414,4957,333,31,80
4293,4293_0,ABANDONED,SOBOL,,,,2103,1100,815,180,199
4294,4294_0,FAILED,SOBOL,,,,2726,2103,517,205,46
4295,4295_0,ABANDONED,SOBOL,,,,383,477,601,9,10
4296,4296_0,FAILED,SOBOL,,,,2381,2774,288,196,116
4297,4297_0,ABANDONED,SOBOL,,,,4761,1476,802,96,232
4298,4298_0,ABANDONED,SOBOL,,,,3959,3713,744,67,213
4299,4299_0,FAILED,SOBOL,,,,1268,2414,230,229,66
4300,4300_0,ABANDONED,SOBOL,,,,833,4648,917,38,59
4301,4301_0,ABANDONED,SOBOL,,,,3140,791,434,138,163
4302,4302_0,FAILED,SOBOL,,,,3344,4412,581,113,110
4303,4303_0,ABANDONED,SOBOL,,,,1466,3481,754,22,136
4304,4304_0,RUNNING,SOBOL,,,,3777,2339,269,186,17
4305,4305_0,RUNNING,SOBOL,,,,4851,2543,219,157,37
4306,4306_0,ABANDONED,SOBOL,,,,2228,1400,704,55,187
4307,4307_0,RUNNING,SOBOL,,,,479,4098,389,244,188
4308,4308_0,ABANDONED,SOBOL,,,,2855,397,905,80,89
4309,4309_0,ABANDONED,SOBOL,,,,2508,3165,495,48,227
4310,4310_0,FAILED,SOBOL,,,,200,2023,980,133,123
4311,4311_0,FAILED,SOBOL,,,,1881,4725,166,73,3
4312,4312_0,FAILED,SOBOL,,,,4572,1024,682,220,150
4313,4313_0,FAILED,SOBOL,,,,4123,3789,865,191,170
4314,4314_0,FAILED,SOBOL,,,,1744,88,349,106,54
4315,4315_0,FAILED,SOBOL,,,,1000,2854,539,162,71
4316,4316_0,RUNNING,SOBOL,,,,3634,3368,502,132,128
4317,4317_0,RUNNING,SOBOL,,,,1762,4992,832,223,101
4318,4318_0,ABANDONED,SOBOL,,,,4072,1134,318,74,248
4319,4319_0,RUNNING,SOBOL,,,,1937,198,656,190,81
