trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
18,18_0,COMPLETED,SOBOL,0.700000000000000066613381477509,1704.000000000000000000000000000000,1.000000000000000000000000000000,2446,0.245227401537820688393054524568,0.082815834838896984493317177112,2721,475,2874
19,19_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2736.000000000000000000000000000000,1.000000000000000000000000000000,4620,0.739936513524502514904668259987,0.769061686936765909194946289062,6,2750,864
20,20_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3683.000000000000000000000000000000,1.000000000000000000000000000000,3781,0.098418093115091323519472155112,0.601160457562655237140347708191,938,3371,1966
21,21_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3983.000000000000000000000000000000,0.979999999999999982236431605997,1567,0.608472002977505366239086015412,0.281851257827132939404179978737,3223,1095,4292
22,22_0,COMPLETED,SOBOL,0.719999999999999973354647408996,1071.000000000000000000000000000000,0.739999999999999991118215802999,183,0.479462679423391824329314658826,0.943427829688414876230240224686,1577,1438,3307
23,23_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3194.000000000000000000000000000000,1.000000000000000000000000000000,2987,0.973985693084076009640170923376,0.126824166616424927056527849345,4292,4318,438
24,24_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2567.000000000000000000000000000000,1.000000000000000000000000000000,2797,0.131109214833006276768045950121,0.930637055715546002154781035642,3468,2294,1066
25,25_0,COMPLETED,SOBOL,0.709999999999999964472863211995,1839.000000000000000000000000000000,0.940000000000000057731597280508,597,0.634280167195945931979395027156,0.248778804725036023492990011619,1144,4412,2689
26,26_0,COMPLETED,SOBOL,0.719999999999999973354647408996,2291.000000000000000000000000000000,0.700000000000000066613381477509,1405,0.262585378019139170646667480469,0.524281532790511817232470548333,4039,2822,4910
27,27_0,COMPLETED,SOBOL,0.719999999999999973354647408996,4329.000000000000000000000000000000,1.000000000000000000000000000000,4187,0.750347290094941832272468218434,0.343128818463534102090051192135,1363,97,1337
