trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
157,157_0,COMPLETED,SOBOL,0.829999999999999960031971113494,1549.000000000000000000000000000000,1.000000000000000000000000000000,2262,61,85,887,0.853854384884238259978417318052
158,158_0,FAILED,SOBOL,,,,316,2897,9,217,0.512060838418081365475131860876
159,159_0,FAILED,SOBOL,,,,3245,1694,63,594,0.358273449707776303618800284312
160,160_0,FAILED,SOBOL,,,,3161,4050,80,855,0.773450537238270063866707459965
161,161_0,COMPLETED,SOBOL,0.770000000000000017763568394003,5083.000000000000000000000000000000,1.000000000000000000000000000000,466,267,27,478,0.120297664435580375918988238482
162,162_0,FAILED,SOBOL,,,,2271,3027,56,686,0.278845152050256728237798142800
163,163_0,FAILED,SOBOL,,,,3793,1719,3,59,0.624634417010471176823216410412
164,164_0,FAILED,SOBOL,,,,4955,3241,48,142,0.734298381708562319936106632667
165,165_0,FAILED,SOBOL,,,,1478,2014,94,519,0.393355530878528925065040766640
166,166_0,FAILED,SOBOL,,,,787,4694,25,318,0.240637628953903920381307557363
167,167_0,FAILED,SOBOL,,,,3092,992,72,945,0.896748610222712128070554626902
168,168_0,FAILED,SOBOL,,,,2720,2622,14,566,0.034696074241772296986585644163
169,169_0,FAILED,SOBOL,,,,1198,1344,67,188,0.812263917636126264731899482285
170,170_0,FAILED,SOBOL,,,,1850,4134,40,897,0.538088190665468535378579417738
171,171_0,COMPLETED,SOBOL,0.770000000000000017763568394003,4990.000000000000000000000000000000,1.000000000000000000000000000000,4544,341,93,270,0.318602216832339746321878237723
172,172_0,FAILED,SOBOL,,,,4204,4620,57,431,0.447763204080984023036648977723
173,173_0,FAILED,SOBOL,,,,1899,908,10,809,0.664291069447994209085095462797
174,174_0,FAILED,SOBOL,,,,56,3616,85,108,0.952099001171067382820467628335
175,175_0,FAILED,SOBOL,,,,3533,2419,38,735,0.169684743646532298910756253463
176,176_0,FAILED,SOBOL,,,,3608,3465,64,374,0.572782525319606050651088935410
177,177_0,FAILED,SOBOL,,,,287,2260,18,997,0.289824991391971709120412015182
178,178_0,FAILED,SOBOL,,,,2136,4473,90,167,0.078160841122269633651775677663
179,179_0,FAILED,SOBOL,,,,4285,744,43,540,0.794206595985218921640580447274
180,180_0,FAILED,SOBOL,,,,4469,4295,7,631,0.907728146560490167793489035830
181,181_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1629.000000000000000000000000000000,1.000000000000000000000000000000,1618,490,61,8,0.188785200035199524082329958219
182,182_0,FAILED,SOBOL,,,,961,2779,34,830,0.414112007882446064854775613640
183,183_0,FAILED,SOBOL,,,,2640,1499,87,457,0.692162218311801580306052983360
