trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_clusters,threshold
12,12_0,COMPLETED,SOBOL,0.869999999999999995559107901499,2223.000000000000000000000000000000,0.969999999999999973354647408996,4611,3408,10,0.974661688361316946860313237266
13,13_0,COMPLETED,SOBOL,0.680000000000000048849813083507,8682.000000000000000000000000000000,0.100000000000000005551115123126,250,1551,5,0.011933323590084910642561411009
14,14_0,COMPLETED,SOBOL,0.820000000000000062172489379009,2469.000000000000000000000000000000,0.359999999999999986677323704498,1534,3840,6,0.528266872005537124756813227577
15,15_0,COMPLETED,SOBOL,0.920000000000000039968028886506,2757.000000000000000000000000000000,1.000000000000000000000000000000,3404,734,2,0.485564015030860884891694695398
16,16_0,COMPLETED,SOBOL,0.790000000000000035527136788005,3396.000000000000000000000000000000,0.719999999999999973354647408996,3134,4025,8,0.831164260372519447805927939044
17,17_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1645.000000000000000000000000000000,0.930000000000000048849813083507,1264,920,4,0.188103967251256110060353421432
18,18_0,COMPLETED,SOBOL,0.650000000000000022204460492503,2702.000000000000000000000000000000,0.020000000000000000416333634234,57,3221,7,0.665491215063259033968279254623
19,19_0,COMPLETED,SOBOL,0.920000000000000039968028886506,3499.000000000000000000000000000000,1.000000000000000000000000000000,4417,1367,3,0.318714043874293584401868884015
20,20_0,COMPLETED,SOBOL,0.869999999999999995559107901499,3821.000000000000000000000000000000,0.959999999999999964472863211995,4079,2983,5,0.412802536401897679496642012964
21,21_0,COMPLETED,SOBOL,0.859999999999999986677323704498,4130.000000000000000000000000000000,0.350000000000000033306690738755,939,2377,9,0.572818461028859027273085757770
22,22_0,COMPLETED,SOBOL,0.660000000000000031086244689504,5238.000000000000000000000000000000,0.390000000000000013322676295502,2232,4734,1,0.091151890473440286277728716868
23,23_0,COMPLETED,SOBOL,0.930000000000000048849813083507,853.000000000000000000000000000000,1.000000000000000000000000000000,2862,378,6,0.921704744100570683151829598501
24,24_0,COMPLETED,SOBOL,0.780000000000000026645352591004,1898.000000000000000000000000000000,0.690000000000000057731597280508,2651,3577,1,0.536941991833969956005034873670
25,25_0,COMPLETED,SOBOL,0.640000000000000013322676295502,2794.000000000000000000000000000000,0.950000000000000066613381477509,2020,1680,6,0.447216139767318943132323738610
26,26_0,COMPLETED,SOBOL,0.770000000000000017763568394003,1772.000000000000000000000000000000,0.160000000000000003330669073875,726,4336,5,0.967691655337810541226417626604
27,27_0,COMPLETED,SOBOL,0.910000000000000031086244689504,5040.000000000000000000000000000000,1.000000000000000000000000000000,3866,1190,10,0.051498988406732677802768449737
28,28_0,COMPLETED,SOBOL,0.820000000000000062172489379009,12445.000000000000000000000000000000,0.859999999999999986677323704498,4826,4408,8,0.204369099618867039458436352106
29,29_0,COMPLETED,SOBOL,0.869999999999999995559107901499,8762.000000000000000000000000000000,1.000000000000000000000000000000,465,15,2,0.808563215300440840671569731057
30,30_0,COMPLETED,SOBOL,0.890000000000000013322676295502,2713.000000000000000000000000000000,0.530000000000000026645352591004,1671,2720,9,0.292092556674033387853484100560
31,31_0,COMPLETED,SOBOL,0.890000000000000013322676295502,1522.000000000000000000000000000000,1.000000000000000000000000000000,3541,2078,3,0.693573664559051339395523427811
32,32_0,COMPLETED,SOBOL,0.820000000000000062172489379009,1085.000000000000000000000000000000,0.719999999999999973354647408996,3510,4665,3,0.919831422260031117410505885346
33,33_0,COMPLETED,SOBOL,0.920000000000000039968028886506,1546.000000000000000000000000000000,1.000000000000000000000000000000,1630,309,7,0.066253569003194567876846576837
34,34_0,COMPLETED,SOBOL,0.729999999999999982236431605997,11983.000000000000000000000000000000,0.119999999999999995559107901499,337,2583,4,0.582609844572842150434155428229
35,35_0,COMPLETED,SOBOL,0.900000000000000022204460492503,2205.000000000000000000000000000000,1.000000000000000000000000000000,4727,1977,8,0.430756483519449839825199433108
36,36_0,COMPLETED,SOBOL,0.839999999999999968913755310496,5066.000000000000000000000000000000,0.890000000000000013322676295502,3811,3603,6,0.339712976077571504607277574905
37,37_0,COMPLETED,SOBOL,0.839999999999999968913755310496,1580.000000000000000000000000000000,0.380000000000000004440892098501,700,1748,2,0.679058897636830804955820894975
38,38_0,COMPLETED,SOBOL,0.820000000000000062172489379009,8488.000000000000000000000000000000,0.380000000000000004440892098501,1907,4113,10,0.158453755866736184509946383514
39,39_0,COMPLETED,SOBOL,0.859999999999999986677323704498,1207.000000000000000000000000000000,1.000000000000000000000000000000,2527,1008,5,0.825270362561568604498063450592
40,40_0,COMPLETED,SOBOL,0.790000000000000035527136788005,3738.000000000000000000000000000000,0.859999999999999986677323704498,2900,2965,10,0.711406036458909540876049959479
41,41_0,COMPLETED,SOBOL,0.760000000000000008881784197001,3646.000000000000000000000000000000,0.839999999999999968913755310496,2280,2322,5,0.302006437459960586089380285557
