trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,max_window_size,min_window_size,min_p_value
13,13_0,COMPLETED,SOBOL,0.300000000000000044408920985006,10.000000000000000000000000000000,0.010000000000000000208166817117,2472,518,1722,0.631283667958248417839683952479
14,14_0,COMPLETED,SOBOL,0.600000000000000088817841970013,279.000000000000000000000000000000,0.969999999999999973354647408996,1156,3423,3153,0.395245854871906332483888490970
15,15_0,COMPLETED,SOBOL,0.609999999999999986677323704498,862.000000000000000000000000000000,1.000000000000000000000000000000,4299,1300,1215,0.886501372259296482880586154351
16,16_0,COMPLETED,SOBOL,0.359999999999999986677323704498,11.000000000000000000000000000000,0.040000000000000000832667268469,4144,3140,4540,0.054290814381465317406405546308
17,17_0,COMPLETED,SOBOL,0.359999999999999986677323704498,10.000000000000000000000000000000,0.010000000000000000208166817117,998,1505,2328,0.544616569500789071689439424517
18,18_0,COMPLETED,SOBOL,0.450000000000000011102230246252,30.000000000000000000000000000000,0.959999999999999964472863211995,2319,4849,2782,0.308517790257465063241681946238
19,19_0,COMPLETED,SOBOL,0.609999999999999986677323704498,478.000000000000000000000000000000,1.000000000000000000000000000000,2843,430,336,0.785937378155719512662358283706
20,20_0,COMPLETED,SOBOL,0.530000000000000026645352591004,51.000000000000000000000000000000,0.989999999999999991118215802999,3344,3816,1646,0.998679483458492889269564329879
21,21_0,COMPLETED,SOBOL,0.350000000000000033306690738755,12.000000000000000000000000000000,0.010000000000000000208166817117,1487,917,3975,0.474264985510800041179635400113
22,22_0,COMPLETED,SOBOL,0.410000000000000031086244689504,22.000000000000000000000000000000,0.089999999999999996669330926125,191,3040,981,0.737616621180437470606250371929
23,23_0,COMPLETED,SOBOL,0.369999999999999995559107901499,12.000000000000000000000000000000,0.029999999999999998889776975375,4659,2307,3389,0.231976462145708495210527644304
24,24_0,COMPLETED,SOBOL,0.489999999999999991118215802999,55.000000000000000000000000000000,0.989999999999999991118215802999,4765,4675,925,0.430447790569812027694496237018
25,25_0,COMPLETED,SOBOL,0.309999999999999997779553950750,9.000000000000000000000000000000,0.000000000000000000000000000000,408,58,3440,0.905927833408862404063199846860
26,26_0,COMPLETED,SOBOL,0.560000000000000053290705182008,66.000000000000000000000000000000,0.709999999999999964472863211995,1592,3588,1433,0.174280947751458720196282570214
27,27_0,COMPLETED,SOBOL,0.390000000000000013322676295502,11.000000000000000000000000000000,0.020000000000000000416333634234,3561,1760,4182,0.666546247929986512836819656513
28,28_0,COMPLETED,SOBOL,0.289999999999999980015985556747,12.000000000000000000000000000000,0.029999999999999998889776975375,2753,2749,2872,0.609840199546236583216796134366
