trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
315,315_0,FAILED,SOBOL,,,,2337,1449,96,131,0.829225857747718730905717166024
316,316_0,FAILED,SOBOL,,,,1767,3273,66,37,0.875421419726684635342905949074
317,317_0,FAILED,SOBOL,,,,2574,2296,13,654,0.401751358222216359283862630036
318,318_0,FAILED,SOBOL,,,,4270,4749,77,453,0.148220694823190557443126635917
319,319_0,FAILED,SOBOL,,,,62,647,28,866,0.637469276197254686167070758529
320,320_0,FAILED,SOBOL,,,,23,3806,81,348,0.765985756412148499627789988153
321,321_0,FAILED,SOBOL,,,,4231,330,29,964,0.261132777145132444207575872497
322,322_0,FAILED,SOBOL,,,,2535,2936,68,134,0.007668605450540781111323784813
323,323_0,FAILED,SOBOL,,,,1728,1334,18,548,0.528100108304992321706095026457
324,324_0,FAILED,SOBOL,,,,2298,3320,47,642,0.698984768351539997865984332748
325,325_0,FAILED,SOBOL,,,,3362,2422,100,40,0.209724763914942741171998363825
326,326_0,FAILED,SOBOL,,,,4791,4950,12,872,0.463051877448335313935956492060
327,327_0,FAILED,SOBOL,,,,878,926,61,441,0.936702901754528305389158049366
328,328_0,FAILED,SOBOL,,,,965,2569,2,117,0.373240051267668626611140325622
329,329_0,FAILED,SOBOL,,,,4550,1593,52,703,0.850808548413217069494862698775
330,330_0,FAILED,SOBOL,,,,3472,4202,38,403,0.605067023189738373289969786128
331,331_0,COMPLETED,SOBOL,0.739999999999999991118215802999,1967.000000000000000000000000000000,1.000000000000000000000000000000,2032,99,91,786,0.111920002456754444364328549000
332,332_0,FAILED,SOBOL,,,,1365,4544,70,880,0.158100369624793540834772898052
333,333_0,FAILED,SOBOL,,,,3056,1147,21,310,0.682449345318600575360790116974
334,334_0,FAILED,SOBOL,,,,3852,3677,85,609,0.927901544537395261968981685641
335,335_0,FAILED,SOBOL,,,,558,2153,32,211,0.419161548973992492683748878335
336,336_0,FAILED,SOBOL,,,,403,3452,55,820,0.531696437867358318030142072530
337,337_0,FAILED,SOBOL,,,,4007,1929,6,500,0.058041366692632434531873286687
338,338_0,FAILED,SOBOL,,,,2900,4457,94,668,0.303830363152548688088216977121
339,339_0,COMPLETED,SOBOL,0.739999999999999991118215802999,7640.000000000000000000000000000000,1.000000000000000000000000000000,1519,1058,41,21,0.793094410739839106305737459479
340,340_0,FAILED,SOBOL,,,,1877,4289,24,177,0.995363560523837787030743129435
341,341_0,COMPLETED,SOBOL,0.709999999999999964472863211995,4336.000000000000000000000000000000,1.000000000000000000000000000000,3626,188,74,513,0.474928490402176994855665270734
342,342_0,FAILED,SOBOL,,,,4394,2795,35,344,0.229520189575850963592529296875
343,343_0,FAILED,SOBOL,,,,1119,1817,88,977,0.734376739827916069636160045775
344,344_0,FAILED,SOBOL,,,,722,4725,26,582,0.076653805498033758536458037725
345,345_0,FAILED,SOBOL,,,,4949,702,79,230,0.585389757910743324664792908152
346,346_0,FAILED,SOBOL,,,,3204,3233,15,931,0.838806220427155468932767234946
347,347_0,FAILED,SOBOL,,,,2456,2334,64,251,0.314461291601881409718544091447
348,348_0,FAILED,SOBOL,,,,1571,3023,97,408,0.392178371736779829426211563259
349,349_0,FAILED,SOBOL,,,,2693,1422,45,774,0.885321821484714721606223974959
350,350_0,RUNNING,SOBOL,,,,4074,4031,58,75,0.631951047500595497474762396450
351,351_0,RUNNING,SOBOL,,,,181,554,8,738,0.154386117622256291426197094552
352,352_0,RUNNING,SOBOL,,,,251,2843,41,996,0.961138957258313886278244808636
353,353_0,RUNNING,SOBOL,,,,4168,1319,88,315,0.440692465933039789760528037732
354,354_0,RUNNING,SOBOL,,,,2739,3850,2,518,0.202846905432641499977819421474
355,355_0,RUNNING,SOBOL,,,,1671,452,52,166,0.707684420345351061776284495863
356,356_0,RUNNING,SOBOL,,,,2351,4896,82,10,0.505750333430245557764237673837
357,357_0,RUNNING,SOBOL,,,,3162,794,35,673,0.032083841051906349106648264069
358,358_0,RUNNING,SOBOL,,,,4858,3403,71,472,0.269853249041363596472109520619
359,359_0,RUNNING,SOBOL,,,,646,2427,20,838,0.759098261289298581466766790982
360,360_0,RUNNING,SOBOL,,,,1185,4080,68,733,0.426163129726424838583653809110
361,361_0,RUNNING,SOBOL,,,,4475,56,18,85,0.919325614813715219497680664062
362,362_0,RUNNING,SOBOL,,,,3678,2584,79,756,0.657889567544683862010401753651
363,363_0,RUNNING,SOBOL,,,,1993,1686,31,436,0.180336058869957932548899748326
364,364_0,RUNNING,SOBOL,,,,1410,3672,11,279,0.103319445762783290732045315963
365,365_0,RUNNING,SOBOL,,,,2844,2070,62,912,0.612074433514848359472182437457
366,366_0,RUNNING,SOBOL,,,,3923,4676,50,241,0.873038408085703876437833059754
367,367_0,RUNNING,SOBOL,,,,342,1200,97,577,0.348704900464043010543946365942
368,368_0,RUNNING,SOBOL,,,,496,4452,14,468,0.727361715367063843551420632139
369,369_0,RUNNING,SOBOL,,,,3767,975,65,851,0.238113132134079946711224806677
370,370_0,RUNNING,SOBOL,,,,2999,3583,29,53,0.499471255341544739803083530205
371,371_0,RUNNING,SOBOL,,,,1255,1983,76,639,0.973141314987093219990299530764
372,372_0,RUNNING,SOBOL,,,,2147,2672,58,545,0.801677954599261277657262780849
373,373_0,RUNNING,SOBOL,,,,3523,1773,8,147,0.296836396535858526579687577396
374,374_0,RUNNING,SOBOL,,,,4630,4304,95,944,0.035798063311725858426370905363
