trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
100,100_0,FAILED,SOBOL,2467,1677,3543,0.721701580446213464270499571285,0.099802043149247759989961537030,3.854639333737083006781176663935,str\(\'ks-test\'\),str\(\'bounded\'\),2374
101,101_0,FAILED,SOBOL,2687,3657,1991,0.210618367139250028952091042811,0.508873581830412202720026471070,8.581791170167736737539598834701,str\(\'t-test\'\),str\(\'full\'\),3292
102,102_0,FAILED,SOBOL,4650,982,4153,0.991544908793643098299241955829,0.847206458058208267125621659943,6.709937390976586257806957291905,str\(\'ks-test\'\),str\(\'full\'\),3994
103,103_0,FAILED,SOBOL,504,4310,82,0.449532124334946270316493155406,0.258521145315840861211853507484,0.737787626630626691692782515020,str\(\'t-test\'\),str\(\'bounded\'\),576
104,104_0,FAILED,SOBOL,16,1968,3875,0.127983524741604931529437294557,0.980733626080676934577695647022,2.400392231791280028829760340159,str\(\'ks-test\'\),str\(\'bounded\'\),1924
105,105_0,FAILED,SOBOL,4825,2703,448,0.677518963778391491992181272508,0.376450873382389528121194643973,5.174921649188735095492575055687,str\(\'t-test\'\),str\(\'full\'\),3505
106,106_0,FAILED,SOBOL,2824,62,3274,0.400016376268118645231908203641,0.231379983127117161423313973501,9.531840759555809228231737506576,str\(\'ks-test\'\),str\(\'full\'\),4209
107,107_0,FAILED,SOBOL,2018,4645,2328,0.918134939465671817693248613068,0.624854085570201278621027540794,3.012573024530895260397755919257,str\(\'t-test\'\),str\(\'bounded\'\),128
108,108_0,FAILED,SOBOL,1534,777,1057,0.818517402116209269458124708763,0.569145409196615270630559280107,0.125018110637553025998869316027,str\(\'ks-test\'\),str\(\'full\'\),4505
109,109_0,FAILED,SOBOL,3619,3933,4505,0.362331267278641455664711656937,0.042454984521493314975071342587,7.274112523729913348802256223280,str\(\'t-test\'\),str\(\'bounded\'\),1086
110,110_0,FAILED,SOBOL,4352,1254,1716,0.591564546877518249168304009800,0.320498070640489463034583650369,7.900821687744000065833915869007,str\(\'ks-test\'\),str\(\'bounded\'\),1630
