trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
621,621_0,RUNNING,SOBOL,,,,3633,26,2916,str\(\'H\'\),str\(\'stdev\'\),0.695332163708284545222682027088,80,2
622,622_0,RUNNING,SOBOL,,,,4132,7,636,str\(\'KL\'\),str\(\'stdev\'\),0.942171772411093066956766506337,58,2
623,623_0,RUNNING,SOBOL,,,,2256,19,4674,str\(\'H\'\),str\(\'tstat\'\),0.374048607978969827048132401615,21,1
624,624_0,RUNNING,SOBOL,,,,2345,8,2326,str\(\'KL\'\),str\(\'stdev\'\),0.433660287359729390566087658954,53,2
625,625_0,RUNNING,SOBOL,,,,4238,18,3609,str\(\'H\'\),str\(\'tstat\'\),0.750086504086852068340363075549,16,3
626,626_0,RUNNING,SOBOL,,,,3488,1,255,str\(\'KL\'\),str\(\'tstat\'\),0.512918275427073244721043465688,50,1
627,627_0,RUNNING,SOBOL,,,,361,26,3805,str\(\'H\'\),str\(\'stdev\'\),0.178583146704360845591352813244,87,2
628,628_0,RUNNING,SOBOL,,,,1153,4,2993,str\(\'H\'\),str\(\'tstat\'\),0.726618195755407203506592850317,6,2
629,629_0,RUNNING,SOBOL,,,,3047,22,1699,str\(\'KL\'\),str\(\'stdev\'\),0.082811020236462348775852149174,69,3
630,630_0,RUNNING,SOBOL,,,,4718,11,4438,str\(\'H\'\),str\(\'stdev\'\),0.342273378863930721749397889653,97,1
631,631_0,RUNNING,SOBOL,,,,1591,15,879,str\(\'KL\'\),str\(\'tstat\'\),0.973045618722215288620702722255,34,2
632,632_0,RUNNING,SOBOL,,,,1496,2,4836,str\(\'KL\'\),str\(\'tstat\'\),0.662448568498715806285304097401,78,2
633,633_0,RUNNING,SOBOL,,,,4618,24,1101,str\(\'H\'\),str\(\'stdev\'\),0.030096882510930299953200162122,40,3
634,634_0,RUNNING,SOBOL,,,,2619,10,2766,str\(\'KL\'\),str\(\'stdev\'\),0.266101025812327862674067091575,25,1
635,635_0,RUNNING,SOBOL,,,,760,17,1296,str\(\'H\'\),str\(\'tstat\'\),0.916605305882170817710630217334,63,3
636,636_0,RUNNING,SOBOL,,,,305,13,501,str\(\'H\'\),str\(\'stdev\'\),0.490031009675934936531405128335,32,2
637,637_0,RUNNING,SOBOL,,,,3427,14,4189,str\(\'KL\'\),str\(\'tstat\'\),0.826196865878999209265032277472,94,3
638,638_0,RUNNING,SOBOL,,,,3850,6,1947,str\(\'H\'\),str\(\'tstat\'\),0.565705602545291230676127725019,72,1
639,639_0,RUNNING,SOBOL,,,,1991,20,3367,str\(\'KL\'\),str\(\'stdev\'\),0.242818304603919399298206371896,10,1
640,640_0,RUNNING,SOBOL,,,,1969,7,596,str\(\'H\'\),str\(\'stdev\'\),0.336441867332905542031795675939,35,2
641,641_0,RUNNING,SOBOL,,,,3833,19,4089,str\(\'KL\'\),str\(\'tstat\'\),0.971082099301740497843127286615,97,2
642,642_0,RUNNING,SOBOL,,,,3405,0,1964,str\(\'H\'\),str\(\'tstat\'\),0.732451480695977763524240344850,63,2
643,643_0,RUNNING,SOBOL,,,,288,26,3346,str\(\'KL\'\),str\(\'stdev\'\),0.084776335373520847471517924987,1,3
644,644_0,RUNNING,SOBOL,,,,777,4,4701,str\(\'KL\'\),str\(\'tstat\'\),0.510985212549567191508970154246,82,2
645,645_0,RUNNING,SOBOL,,,,2641,23,1241,str\(\'H\'\),str\(\'stdev\'\),0.172721178630366928308248475332,44,2
646,646_0,RUNNING,SOBOL,,,,4635,10,2710,str\(\'KL\'\),str\(\'stdev\'\),0.435595145953819151696251310568,16,1
647,647_0,RUNNING,SOBOL,,,,1518,16,1357,str\(\'H\'\),str\(\'tstat\'\),0.755950245570391365923512694280,54,3
648,648_0,RUNNING,SOBOL,,,,1569,1,3089,str\(\'H\'\),str\(\'tstat\'\),0.567669177733361673965362115268,10,1
649,649_0,RUNNING,SOBOL,,,,4701,24,1599,str\(\'KL\'\),str\(\'stdev\'\),0.248649879338219775837259817308,73,3
650,650_0,RUNNING,SOBOL,,,,3024,9,4455,str\(\'H\'\),str\(\'stdev\'\),0.488065631335601213258712505194,88,2
651,651_0,RUNNING,SOBOL,,,,1136,18,857,str\(\'KL\'\),str\(\'tstat\'\),0.820363525170832885713423365814,26,3
652,652_0,RUNNING,SOBOL,,,,379,12,2191,str\(\'KL\'\),str\(\'stdev\'\),0.271963057089597004534198276815,57,1
653,653_0,RUNNING,SOBOL,,,,3510,15,3748,str\(\'H\'\),str\(\'tstat\'\),0.918538424527272634456664945901,20,3
654,654_0,RUNNING,SOBOL,,,,4255,5,198,str\(\'KL\'\),str\(\'tstat\'\),0.656584771247580634145890599029,42,2
655,655_0,RUNNING,SOBOL,,,,2367,21,3866,str\(\'H\'\),str\(\'stdev\'\),0.028161960713565348940479182716,79,1
656,656_0,RUNNING,SOBOL,,,,2234,6,1830,str\(\'KL\'\),str\(\'tstat\'\),0.218293697593733682094097048321,50,3
657,657_0,RUNNING,SOBOL,,,,4115,20,2860,str\(\'H\'\),str\(\'stdev\'\),0.598926623310893746499061762734,87,1
658,658_0,RUNNING,SOBOL,,,,3611,12,775,str\(\'KL\'\),str\(\'stdev\'\),0.851208896547555937672768777702,52,1
659,659_0,RUNNING,SOBOL,,,,473,13,4540,str\(\'H\'\),str\(\'tstat\'\),0.456322803193703274704517980354,15,2
660,660_0,RUNNING,SOBOL,,,,964,9,3508,str\(\'H\'\),str\(\'stdev\'\),0.887526523673906941880318299809,97,3
661,661_0,RUNNING,SOBOL,,,,2845,16,2429,str\(\'KL\'\),str\(\'tstat\'\),0.304026600956916803752960731799,34,1
662,662_0,RUNNING,SOBOL,,,,4919,3,3938,str\(\'H\'\),str\(\'tstat\'\),0.058688479002565144271308383850,6,3
663,663_0,RUNNING,SOBOL,,,,1781,24,125,str\(\'KL\'\),str\(\'stdev\'\),0.625010417012497820898886402574,68,2
664,664_0,RUNNING,SOBOL,,,,1382,11,4321,str\(\'KL\'\),str\(\'stdev\'\),0.940236735360696962437998536188,24,2
665,665_0,RUNNING,SOBOL,,,,4496,15,371,str\(\'H\'\),str\(\'tstat\'\),0.368184688039124019542924770576,62,2
666,666_0,RUNNING,SOBOL,,,,2740,4,3267,str\(\'KL\'\),str\(\'tstat\'\),0.115132479939609760899443813287,78,3
667,667_0,RUNNING,SOBOL,,,,874,21,2051,str\(\'H\'\),str\(\'stdev\'\),0.701194072296842940694716617145,40,1
668,668_0,RUNNING,SOBOL,,,,114,0,997,str\(\'H\'\),str\(\'tstat\'\),0.142194638034328829645502878520,71,2
669,669_0,RUNNING,SOBOL,,,,3228,25,4938,str\(\'KL\'\),str\(\'stdev\'\),0.542559589091688443396321872569,9,1
670,670_0,RUNNING,SOBOL,,,,4050,8,1427,str\(\'H\'\),str\(\'stdev\'\),0.786962198473513119267863658024,31,3
671,671_0,RUNNING,SOBOL,,,,2183,19,2633,str\(\'KL\'\),str\(\'tstat\'\),0.403531550036743291709484537932,93,1
672,672_0,RUNNING,SOBOL,,,,2079,0,4429,str\(\'KL\'\),str\(\'tstat\'\),0.620765969464555422696605546662,33,2
673,673_0,RUNNING,SOBOL,,,,3958,26,888,str\(\'H\'\),str\(\'stdev\'\),0.188723148360848413940260570598,95,1
674,674_0,RUNNING,SOBOL,,,,3143,7,2983,str\(\'KL\'\),str\(\'stdev\'\),0.450562117438763398702405993390,67,3
675,675_0,RUNNING,SOBOL,,,,3,20,1709,str\(\'H\'\),str\(\'tstat\'\),0.864696978313848396702212539822,5,2
