trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_windows,disjoint_training_windows
84,84_0,COMPLETED,SOBOL,0.729999999999999982236431605997,33.000000000000000000000000000000,0.000000000000000000000000000000,4099,4580,4928,False
85,85_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2325,357,1760,True
86,86_0,COMPLETED,SOBOL,0.729999999999999982236431605997,27.000000000000000000000000000000,0.000000000000000000000000000000,566,3343,3726,False
87,87_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3669,1624,481,True
88,88_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3303,3858,3331,True
89,89_0,COMPLETED,SOBOL,0.729999999999999982236431605997,2.000000000000000000000000000000,0.209999999999999992228438827624,278,1197,251,False
90,90_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1958,2582,4534,True
91,91_0,COMPLETED,SOBOL,0.729999999999999982236431605997,5.000000000000000000000000000000,0.989999999999999991118215802999,3811,2424,1529,False
92,92_0,COMPLETED,SOBOL,0.739999999999999991118215802999,5.000000000000000000000000000000,0.959999999999999964472863211995,4686,3601,1173,False
93,93_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1422,1259,3015,True
94,94_0,COMPLETED,SOBOL,0.729999999999999982236431605997,37.000000000000000000000000000000,0.000000000000000000000000000000,680,4865,2473,False
95,95_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2616,24,4235,True
96,96_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2567,3531,2501,True
97,97_0,COMPLETED,SOBOL,0.729999999999999982236431605997,15.000000000000000000000000000000,0.000000000000000000000000000000,709,1504,749,False
98,98_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1529,4798,3801,True
99,99_0,COMPLETED,SOBOL,0.729999999999999982236431605997,4.000000000000000000000000000000,0.000000000000000000000000000000,4559,267,1969,False
100,100_0,COMPLETED,SOBOL,0.729999999999999982236431605997,3.000000000000000000000000000000,0.719999999999999973354647408996,3860,3944,440,False
101,101_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1929,973,3455,True
102,102_0,COMPLETED,SOBOL,0.729999999999999982236431605997,22.000000000000000000000000000000,0.000000000000000000000000000000,171,2671,1643,False
103,103_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3430,2199,4733,True
104,104_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3698,4511,1258,True
105,105_0,COMPLETED,SOBOL,0.729999999999999982236431605997,7.000000000000000000000000000000,0.000000000000000000000000000000,517,603,4493,False
106,106_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2198,3276,55,True
107,107_0,COMPLETED,SOBOL,0.729999999999999982236431605997,18.000000000000000000000000000000,0.000000000000000000000000000000,4207,1866,3215,False
108,108_0,COMPLETED,SOBOL,0.729999999999999982236431605997,27.000000000000000000000000000000,0.000000000000000000000000000000,4916,3043,4196,False
109,109_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1808,1953,2199,True
110,110_0,COMPLETED,SOBOL,0.729999999999999982236431605997,32.000000000000000000000000000000,0.000000000000000000000000000000,1065,4270,2896,False
111,111_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2845,677,979,True
112,112_0,COMPLETED,SOBOL,0.729999999999999982236431605997,32.000000000000000000000000000000,0.000000000000000000000000000000,3035,4139,4675,False
113,113_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1182,858,1427,True
114,114_0,COMPLETED,SOBOL,0.729999999999999982236431605997,24.000000000000000000000000000000,0.000000000000000000000000000000,1689,2862,3394,False
115,115_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,4714,2085,227,True
116,116_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,4329,3418,2380,True
117,117_0,COMPLETED,SOBOL,0.729999999999999982236431605997,17.000000000000000000000000000000,0.000000000000000000000000000000,2393,1696,4366,False
118,118_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,324,4682,1159,True
119,119_0,COMPLETED,SOBOL,0.729999999999999982236431605997,6.000000000000000000000000000000,0.000000000000000000000000000000,3588,461,3069,False
120,120_0,COMPLETED,SOBOL,0.729999999999999982236431605997,4.000000000000000000000000000000,0.829999999999999960031971113494,3231,2539,919,False
121,121_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,45,2379,2683,True
122,122_0,COMPLETED,SOBOL,0.729999999999999982236431605997,30.000000000000000000000000000000,0.000000000000000000000000000000,2037,3764,2140,False
123,123_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,4052,1105,3981,True
124,124_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,4446,4939,3625,True
125,125_0,COMPLETED,SOBOL,0.739999999999999991118215802999,3.000000000000000000000000000000,0.170000000000000012212453270877,1343,96,622,False
