trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,theta,lambida
13,13_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3779,349,0.499403054760489628627340152889,0.493830161336809403405112561813
14,14_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3555,4952,0.807953913930710365676191031525,0.574303118046373128890991210938
15,15_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,966,1412,0.008650123489927500491925016490,0.201656400175765165849739446458
16,16_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1167,4729,0.550167973752599182013511835976,0.904238803412765301814602025843
17,17_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3735,1403,0.256681404127087453570510433565,0.280813029708340766710250591132
18,18_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3980,3351,0.941421249183360453471891560184,0.666217363068833945405344820756
19,19_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1548,592,0.234331071804929513824333753291,0.043225533757358790276636995031
20,20_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1934,3037,0.442096007743012164858953383373,0.178234374301508069482480323131
21,21_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,4523,913,0.735613024165388207364912886987,0.550700256448239056084048570483
22,22_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2872,3807,0.048876480254624043997324633892,0.376784707505255944681721302914
23,23_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,461,2327,0.755997163968998964200807222369,0.749791016692295642087628948502
24,24_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,15,3631,0.077729128494113688963018660161,0.606441620068624565043080565374
25,25_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2582,237,0.869690596842393248699920604849,0.231897195976227515901157971712
26,26_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,4703,4380,0.429859040241129697346167404248,0.836727135676890609872202730912
27,27_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2270,1671,0.636523342334292863142763962969,0.461626822048798179931594631853
28,28_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1719,4077,0.930157894481718483525867213757,0.318881982412189235454036406736
29,29_0,COMPLETED,SOBOL,0.739999999999999991118215802999,2.000000000000000000000000000000,0.119999999999999995559107901499,4308,1982,0.138165919797494984866403910928,0.944386536004021781565143101034
30,30_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3282,2680,0.576092222128249731305515979329,0.112474017271772031012488923807
31,31_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.059999999999999997779553950750,871,1190,0.369397473238222306957112550663,0.737559613082557907759451154561
32,32_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,807,4269,0.209588111330289372791213509117,0.778739496983587686784744619217
33,33_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3396,2174,0.969872794737014931598650946398,0.406312815738841870416564461266
34,34_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,4245,2561,0.282847720724996198882195130864,0.541212551629170812717006810999
35,35_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1834,1072,0.520274049339722877149938540242,0.168229858160018924673195783726
36,36_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2225,3514,0.780709610665310194121957465541,0.052774149803444740658431300062
37,37_0,COMPLETED,SOBOL,0.719999999999999973354647408996,1.000000000000000000000000000000,0.119999999999999995559107901499,4793,121,0.020455448479298501268663912356,0.676160960547625977667962615669
38,38_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2538,4580,0.709416253328230217434224869066,0.251803630754351637222043791553
39,39_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.059999999999999997779553950750,106,1870,0.472020386395137769852681230986,0.874771606406196999827784566151
40,40_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,358,2838,0.666080841177515647899554096512,0.731909462420269885107870777574
41,41_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2947,714,0.404271116032637656267922920961,0.106428881458938126569613302763
42,42_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,4421,3923,0.840656907937303188305122603197,0.961700587138533569131482181547
43,43_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2010,2444,0.102804644498229028060087841823,0.336653835317119953796094478093
44,44_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1464,4848,0.339870428634248655797023275227,0.444373678423464313347324150527
45,45_0,COMPLETED,SOBOL,0.729999999999999982236431605997,2.000000000000000000000000000000,0.059999999999999997779553950750,4031,1523,0.601649692097492527764757141995,0.818894367827102565016161861422
46,46_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3652,3159,0.167230122480913984128747529212,0.237486431693658239794331166195
47,47_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1219,400,0.905051864699274344339130493609,0.612547663390636487612539440306
48,48_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1029,3402,0.410357288204133530129524842778,0.282044309442862850545452602091
49,49_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.119999999999999995559107901499,3441,545,0.640464180060103527303283499350,0.906910225540399572707883635303
50,50_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3842,4839,0.081592569137550891023025201321,0.020570927627384664321263940678
51,51_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1253,1299,0.850172415740601761235950561968,0.645992499036714407090187251015
52,52_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2111,3893,0.579940461700409692902269398473,0.510974163129925718074275664549
53,53_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,4544,2238,0.349864031526073815392408050684,0.136097574224695566647014288719
54,54_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3049,3103,0.910671373285539487163475769194,0.810944236038252719289687320270
55,55_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,481,842,0.142122047903202458618565628967,0.436486363254487530483061163977
