trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_clusters,threshold
1898,1898_0,RUNNING,SOBOL,,,,4186,611,3,0.259296057436615212665742546960
1899,1899_0,RUNNING,SOBOL,,,,1468,2917,9,0.981536852339282672730291778862
1900,1900_0,RUNNING,SOBOL,,,,2210,699,7,0.862638671640306720078683611064
1901,1901_0,RUNNING,SOBOL,,,,4615,3316,3,0.393784894892945880329193641955
1902,1902_0,RUNNING,SOBOL,,,,3233,1648,9,0.643122842624783475073968475044
1903,1903_0,RUNNING,SOBOL,,,,1096,4343,5,0.115803924581035971863585132269
1904,1904_0,RUNNING,SOBOL,,,,985,1737,7,0.915115544270724057263066697487
1905,1905_0,RUNNING,SOBOL,,,,3419,4120,1,0.327481339173391450270145242030
1906,1906_0,RUNNING,SOBOL,,,,4497,927,9,0.577122937746346043041967277532
1907,1907_0,RUNNING,SOBOL,,,,2409,3233,4,0.164929841352626671557857207517
1908,1908_0,RUNNING,SOBOL,,,,1276,391,3,0.049919628717005254392447000100
1909,1909_0,RUNNING,SOBOL,,,,4301,3008,7,0.707725710673257735194852102723
1910,1910_0,RUNNING,SOBOL,,,,2912,1962,5,0.458085537891834981838456997139
1911,1911_0,RUNNING,SOBOL,,,,165,4656,10,0.800106761144474099012313672574
1912,1912_0,RUNNING,SOBOL,,,,481,1227,5,0.662664624247700007053651916067
1913,1913_0,RUNNING,SOBOL,,,,2613,3531,10,0.065284265914931888241667934381
1914,1914_0,RUNNING,SOBOL,,,,4004,1434,2,0.812030948504805616394719436357
1915,1915_0,RUNNING,SOBOL,,,,1595,3815,8,0.413482323875650759070765616343
1916,1916_0,RUNNING,SOBOL,,,,2102,2302,8,0.310166471973061574907148951752
1917,1917_0,RUNNING,SOBOL,,,,4824,4998,4,0.962124957164749550209137396450
1918,1918_0,RUNNING,SOBOL,,,,3746,45,6,0.215381603900343193691568899339
1919,1919_0,RUNNING,SOBOL,,,,677,2663,2,0.559352105388417841780324124557
1920,1920_0,RUNNING,SOBOL,,,,701,1632,8,0.163594194421544658624156909354
1921,1921_0,RUNNING,SOBOL,,,,3726,4249,4,0.564103429261594957466741107055
1922,1922_0,RUNNING,SOBOL,,,,4835,706,6,0.312979554018005756699238872898
1923,1923_0,RUNNING,SOBOL,,,,2089,3400,2,0.912297680154442791611302254751
1924,1924_0,RUNNING,SOBOL,,,,1580,481,5,0.808993251314386707662151820841
1925,1925_0,RUNNING,SOBOL,,,,4014,2864,10,0.463062139615416534788039371051
1926,1926_0,RUNNING,SOBOL,,,,2593,2169,2,0.714189347902312920979284172063
1927,1927_0,RUNNING,SOBOL,,,,506,4474,8,0.060293094906955960188277288125
1928,1928_0,RUNNING,SOBOL,,,,178,1048,3,0.416052728580310948736098453082
1929,1929_0,RUNNING,SOBOL,,,,2900,3744,7,0.826308116655796731642169561383
1930,1930_0,RUNNING,SOBOL,,,,4323,1293,5,0.078063929123803971199535567393
1931,1931_0,RUNNING,SOBOL,,,,1254,3911,10,0.663737583495676464195867083617
1932,1932_0,RUNNING,SOBOL,,,,2387,2476,7,0.548738793922588175000498722511
1933,1933_0,RUNNING,SOBOL,,,,4518,4780,1,0.208655278988182535382378546274
1934,1934_0,RUNNING,SOBOL,,,,3408,180,9,0.956900896029546865761972185283
1935,1935_0,RUNNING,SOBOL,,,,998,2562,3,0.301055364798754443445005790636
1936,1936_0,RUNNING,SOBOL,,,,1121,110,7,0.733883415957912843552435333550
1937,1937_0,RUNNING,SOBOL,,,,3204,2805,2,0.009682070329785345819129105394
1938,1938_0,RUNNING,SOBOL,,,,4634,2227,9,0.758476894089952113908736919257
1939,1939_0,RUNNING,SOBOL,,,,2195,4845,5,0.482607282165437911913841162459
1940,1940_0,RUNNING,SOBOL,,,,1453,1535,1,0.363697682121768617324875094710
1941,1941_0,RUNNING,SOBOL,,,,4204,3839,6,0.892977150890976179020697145461
1942,1942_0,RUNNING,SOBOL,,,,3087,1116,3,0.144185660174116492271423339844
1943,1943_0,RUNNING,SOBOL,,,,67,3498,9,0.614977145239710809576649808150
1944,1944_0,RUNNING,SOBOL,,,,385,1948,4,0.968738135201856476186321742716
1945,1945_0,RUNNING,SOBOL,,,,2789,4565,8,0.258181261338293555063216899725
1946,1946_0,RUNNING,SOBOL,,,,3906,395,1,0.506079265581443893395885424979
1947,1947_0,RUNNING,SOBOL,,,,1770,3089,6,0.220463500421494235093078373211
1948,1948_0,RUNNING,SOBOL,,,,1887,794,10,0.121047039644792672752338091868
1949,1949_0,RUNNING,SOBOL,,,,4960,3178,4,0.652275786649435751485270884586
1950,1950_0,COMPLETED,SOBOL,0.699999999999999955591079014994,31.000000000000000000000000000000,0.959999999999999964472863211995,3532,1860,7,0.404379211915656899822835157465
1951,1951_0,COMPLETED,SOBOL,0.650000000000000022204460492503,46.000000000000000000000000000000,0.170000000000000012212453270877,815,4165,2,0.869323100216686683872069352219
1952,1952_0,COMPLETED,SOBOL,0.729999999999999982236431605997,22.000000000000000000000000000000,0.979999999999999982236431605997,904,646,5,0.605121078720316285526337196643
1953,1953_0,COMPLETED,SOBOL,0.680000000000000048849813083507,162.000000000000000000000000000000,0.790000000000000035527136788005,3504,3341,10,0.138231806620955466335942674050
