trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_windows,disjoint_training_windows
31,31_0,COMPLETED,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,0.000000000000000000000000000000,2205,2418,1891,True
32,32_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,2307,4072,756,True
33,33_0,COMPLETED,SOBOL,0.640000000000000013322676295502,29.000000000000000000000000000000,0.989999999999999991118215802999,4079,1029,2960,False
34,34_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,2577,2840,2220,True
35,35_0,COMPLETED,SOBOL,0.579999999999999960031971113494,19.000000000000000000000000000000,0.179999999999999993338661852249,726,2296,3761,False
36,36_0,COMPLETED,SOBOL,0.530000000000000026645352591004,33.000000000000000000000000000000,0.040000000000000000832667268469,211,3285,3277,False
37,37_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,3361,1504,442,True
38,38_0,COMPLETED,SOBOL,0.540000000000000035527136788005,51.000000000000000000000000000000,0.419999999999999984456877655248,4985,4551,4702,False
39,39_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,1758,271,1281,True
40,40_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,1389,2704,4605,True
41,41_0,COMPLETED,SOBOL,0.630000000000000004440892098501,23.000000000000000000000000000000,0.890000000000000013322676295502,4411,2164,1770,False
42,42_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,3495,3971,3686,True
43,43_0,COMPLETED,SOBOL,0.589999999999999968913755310496,16.000000000000000000000000000000,0.400000000000000022204460492503,394,930,265,False
44,44_0,COMPLETED,SOBOL,0.589999999999999968913755310496,27.000000000000000000000000000000,0.200000000000000011102230246252,1168,4731,2084,False
45,45_0,COMPLETED,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,0.000000000000000000000000000000,3068,447,4289,True
46,46_0,COMPLETED,SOBOL,0.570000000000000062172489379009,21.000000000000000000000000000000,0.630000000000000004440892098501,4028,3498,1205,False
47,47_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,0.000000000000000000000000000000,2051,1716,2745,True
48,48_0,COMPLETED,SOBOL,0.579999999999999960031971113494,17.000000000000000000000000000000,0.330000000000000015543122344752,1986,3625,1676,False
49,49_0,COMPLETED,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,0.000000000000000000000000000000,3817,1823,4472,True
50,50_0,COMPLETED,SOBOL,0.500000000000000000000000000000,8.000000000000000000000000000000,0.470000000000000028865798640254,2820,4857,55,False
