trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,max_window_size,min_window_size,min_p_value
159,159_0,COMPLETED,SOBOL,0.680000000000000048849813083507,9.000000000000000000000000000000,0.080000000000000001665334536938,158,3714,2274,0.207642723068594936552955232401
160,160_0,COMPLETED,SOBOL,0.640000000000000013322676295502,6.000000000000000000000000000000,0.130000000000000004440892098501,271,2490,655,0.337355441160965718871977969684
161,161_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.100000000000000005551115123126,4609,4324,4989,0.547298469202127324528817098326
162,162_0,COMPLETED,SOBOL,0.719999999999999973354647408996,2.000000000000000000000000000000,0.010000000000000000208166817117,2920,379,2163,0.038532549418043349209739290018
163,163_0,COMPLETED,SOBOL,0.729999999999999982236431605997,755.000000000000000000000000000000,0.969999999999999973354647408996,2254,3464,3450,0.825538128040824048525792022701
164,164_0,COMPLETED,SOBOL,0.689999999999999946709294817992,3.000000000000000000000000000000,0.020000000000000000416333634234,1317,889,4253,0.956726148242875940042040383560
165,165_0,COMPLETED,SOBOL,0.680000000000000048849813083507,7.000000000000000000000000000000,0.939999999999999946709294817992,3229,2804,150,0.185328203502856198037207491325
166,166_0,COMPLETED,SOBOL,0.699999999999999955591079014994,2.000000000000000000000000000000,0.029999999999999998889776975375,4293,1283,2940,0.665835863913036840600057075790
167,167_0,COMPLETED,SOBOL,0.670000000000000039968028886506,7.000000000000000000000000000000,0.309999999999999997779553950750,1209,4448,1415,0.440284368441998974486040197007
168,168_0,COMPLETED,SOBOL,0.699999999999999955591079014994,3.000000000000000000000000000000,0.000000000000000000000000000000,922,57,2599,0.200114982327539464579402306299
169,169_0,COMPLETED,SOBOL,0.689999999999999946709294817992,12.000000000000000000000000000000,0.849999999999999977795539507497,3928,3141,1779,0.909508188985940102533334084001
170,170_0,COMPLETED,SOBOL,0.729999999999999982236431605997,2.000000000000000000000000000000,0.050000000000000002775557561563,3587,2167,3961,0.425250385219138105075131761623
171,171_0,COMPLETED,SOBOL,0.670000000000000039968028886506,7.000000000000000000000000000000,0.369999999999999995559107901499,1597,4002,407,0.712805666146520522374885331374
172,172_0,COMPLETED,SOBOL,0.660000000000000031086244689504,2.000000000000000000000000000000,0.040000000000000000832667268469,1905,1566,2458,0.562077870762720643860177460738
173,173_0,COMPLETED,SOBOL,0.709999999999999964472863211995,10.000000000000000000000000000000,0.800000000000000044408920985006,2650,4732,3200,0.290129628327302602208703774522
174,174_0,COMPLETED,SOBOL,0.739999999999999991118215802999,76.000000000000000000000000000000,1.000000000000000000000000000000,4867,1172,978,0.810511518360860661047695430170
175,175_0,COMPLETED,SOBOL,0.729999999999999982236431605997,2.000000000000000000000000000000,0.010000000000000000208166817117,606,3088,4611,0.085510201507061719961022561165
176,176_0,COMPLETED,SOBOL,0.670000000000000039968028886506,2.000000000000000000000000000000,0.010000000000000000208166817117,351,1046,1710,0.653514283936563855625934138516
177,177_0,COMPLETED,SOBOL,0.729999999999999982236431605997,70.000000000000000000000000000000,0.989999999999999991118215802999,4840,2961,2688,0.488443720554094740204931213157
