trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
30,30_0,FAILED,SOBOL,1107,591,702,0.416229483045637616012157877776,0.487080363843590047334686232716,0.146975765217095627468424368089,str\(\'t-test\'\),str\(\'full\'\),4601
31,31_0,FAILED,SOBOL,4533,3299,2955,0.771500006090849677065079958993,0.739951997397467531314418920374,5.405130609577522449171738117002,str\(\'ks-test\'\),str\(\'bounded\'\),2214
32,32_0,FAILED,SOBOL,4680,1540,4100,0.579918386077508341003294844995,0.220724737217649819021048074319,7.262148404472508644857953186147,str\(\'t-test\'\),str\(\'bounded\'\),3274
33,33_0,FAILED,SOBOL,1234,4846,1979,0.233561104917898776367479740657,0.973631895091384702567438580445,1.876979153557680524144757328031,str\(\'ks-test\'\),str\(\'full\'\),1198
34,34_0,FAILED,SOBOL,1697,407,2637,0.947684475468471676506965195586,0.660384559588506836469434801984,4.677408548129722731800939072855,str\(\'t-test\'\),str\(\'full\'\),2009
35,35_0,FAILED,SOBOL,2625,3166,1010,0.367233442498371032147730375073,0.406538312941789603538467190447,9.935718088325113939163202303462,str\(\'ks-test\'\),str\(\'bounded\'\),4923
36,36_0,FAILED,SOBOL,3417,888,1804,0.486818813819438200862776966460,0.297689652834087603583412828812,5.500648508317769191933166439412,str\(\'t-test\'\),str\(\'full\'\),1466
37,37_0,FAILED,SOBOL,2468,3041,4551,0.826399008542299307045198020205,0.551536847529932816591724531463,0.203439875351265092584540639109,str\(\'ks-test\'\),str\(\'bounded\'\),4099
38,38_0,FAILED,SOBOL,464,2334,210,0.105410096712410444874663539849,0.864053463943302624272746470524,2.601306362199597099760239871102,str\(\'t-test\'\),str\(\'bounded\'\),2701
39,39_0,FAILED,SOBOL,3888,3783,3714,0.710271543245762582152735831187,0.111145358020439746771224065469,7.947571603451856425692767516011,str\(\'ks-test\'\),str\(\'full\'\),324
40,40_0,FAILED,SOBOL,4077,262,404,0.751887473978102183203020558722,0.891006659591570548961669828714,9.173611581004225357105497096200,str\(\'t-test\'\),str\(\'full\'\),1739
41,41_0,FAILED,SOBOL,2,3667,3126,0.436580586325377217882248714886,0.146929042018949990167087094051,3.876257825241424370688037015498,str\(\'ks-test\'\),str\(\'bounded\'\),3825
42,42_0,FAILED,SOBOL,2070,1707,1296,0.651231932509690469856877825805,0.457922818271443266002762584321,1.428264635730534859447971030022,str\(\'t-test\'\),str\(\'bounded\'\),2975
