trial_index,arm_name,trial_status,generation_method,result,n_reference_samples,recent_samples_proportion,threshold
101,101_0,COMPLETED,BoTorch,0.251466473709599624974941889377,50,0.528434527503533923997736110323,0.675932928146487865816993689805
102,102_0,COMPLETED,BoTorch,0.251892185238784316325677536952,50,0.506172487329796472188547795668,0.591503236837691126481786341174
103,103_0,COMPLETED,BoTorch,0.251388084901109531976715061319,50,0.386240144451517330992373899790,0.500000000000000000000000000000
104,104_0,COMPLETED,BoTorch,0.251164978292329976738983532414,50,0.363147119901957249332724586566,0.500000000000000000000000000000
105,105_0,COMPLETED,BoTorch,0.250789917993246458394196451991,50,0.370130213921177175784293922334,0.500000000000000000000000000000
106,106_0,COMPLETED,BoTorch,0.252533767486734173068896325276,50,0.915187038391401030956728845922,0.559458837524642760286042175721
107,107_0,COMPLETED,BoTorch,0.251700434153400820491697231773,50,0.310525474986082350437044397040,0.500000000000000000000000000000
108,108_0,COMPLETED,BoTorch,0.251482151471297599165666269982,50,1.000000000000000000000000000000,0.547121163311953595531633709470
109,109_0,COMPLETED,BoTorch,0.251490593342981183511142262432,50,1.000000000000000000000000000000,0.554494648742221429849053038197
110,110_0,COMPLETED,BoTorch,0.251642547033285146618197813950,50,0.351432865117274451094431242382,0.519515478476362813076150359848
111,49_0,COMPLETED,BoTorch,0.251339845634346303882011852693,50,1.000000000000000000000000000000,0.500000000000000000000000000000
112,112_0,COMPLETED,BoTorch,0.252185238784370491238462363981,50,0.508781014142472898242886003572,0.670458293735125776535710429016
113,113_0,COMPLETED,BoTorch,0.251397732754462088777813733032,50,1.000000000000000000000000000000,0.547459954415160932050810060900
114,114_0,COMPLETED,BoTorch,0.252689339122045386609727302130,50,0.334499016205316579419815070651,0.500000000000000000000000000000
115,115_0,COMPLETED,BoTorch,0.250705499276410948006343915040,50,0.339272640320934348867609742229,0.500000000000000000000000000000
116,49_0,COMPLETED,BoTorch,0.251374819102749613719538501755,50,1.000000000000000000000000000000,0.500000000000000000000000000000
117,49_0,COMPLETED,BoTorch,0.251330197780993747080913180980,50,1.000000000000000000000000000000,0.500000000000000000000000000000
118,49_0,COMPLETED,BoTorch,0.251575012059816693898994799383,50,1.000000000000000000000000000000,0.500000000000000000000000000000
119,119_0,COMPLETED,BoTorch,0.252331162566329036955892206606,50,0.460946065966412299452770184871,0.605387249222629875156087564392
120,120_0,COMPLETED,BoTorch,0.251947660395561934265629133733,50,0.536165641818900695625416119583,0.621598748946203039089652975235
121,49_0,COMPLETED,BoTorch,0.251603955619874586346895739553,50,1.000000000000000000000000000000,0.500000000000000000000000000000
122,122_0,COMPLETED,BoTorch,0.252422817173178937188993131713,50,0.766886666096983860008151623333,0.593025631460632363101126429683
123,49_0,COMPLETED,BoTorch,0.251302460202604938110937382589,50,1.000000000000000000000000000000,0.500000000000000000000000000000
124,124_0,COMPLETED,BoTorch,0.252244331886155359612189386098,50,0.557835692256274606748434052861,0.619899672605909390910028378130
125,49_0,COMPLETED,BoTorch,0.251388084901109531976715061319,50,1.000000000000000000000000000000,0.500000000000000000000000000000
126,126_0,COMPLETED,BoTorch,0.251324167872648329691287472087,50,0.335456322976191989582162022998,0.500000000000000000000000000000
127,49_0,COMPLETED,BoTorch,0.251453207911239706717765329813,50,1.000000000000000000000000000000,0.500000000000000000000000000000
128,128_0,COMPLETED,BoTorch,0.252630246020260518236000280012,50,0.121172213570191728004843412236,0.587100507360714840565663052985
129,129_0,COMPLETED,BoTorch,0.252430053063193438056543982384,50,0.503593042103052335178858811560,0.627345925627251665979144945595
130,130_0,COMPLETED,BoTorch,0.252793053545586121622079645022,50,0.550399998403406476299437599664,0.697532488795094329780965836107
131,131_0,COMPLETED,BoTorch,0.252310660877954617831164796371,50,0.494585803067729257165296985477,0.619084781955730023561557118228
132,49_0,COMPLETED,BoTorch,0.251338639652677331426389173430,50,1.000000000000000000000000000000,0.500000000000000000000000000000
133,133_0,COMPLETED,BoTorch,0.283087313072841295635839742317,189,0.425342917814850784985480913747,0.611657321732491210397597569681
134,134_0,COMPLETED,BoTorch,0.251868065605402757789477163897,50,0.342714373103922498309259481175,0.500000000000000000000000000000
135,135_0,COMPLETED,BoTorch,0.264916787264833586412748900329,96,0.897528963307195559728768330388,0.697450228229425039927491525305
136,136_0,COMPLETED,BoTorch,0.252842498794018322172405532910,50,0.462910517238185326149846332555,0.614627597504567635411376613774
137,137_0,COMPLETED,BoTorch,0.302928123492522960447104196646,491,0.865237909887539791142785361444,0.783414345822994073742506770941
138,49_0,COMPLETED,BoTorch,0.251359141341051639528814121149,50,1.000000000000000000000000000000,0.500000000000000000000000000000
139,139_0,COMPLETED,BoTorch,0.288209117221418287257961310388,231,0.268733718153089329305771570944,0.760840942244976781161369672191
140,49_0,COMPLETED,BoTorch,0.251377231066087780675388785312,50,1.000000000000000000000000000000,0.500000000000000000000000000000
141,141_0,COMPLETED,BoTorch,0.255704293294741868969310871762,57,0.543619520651145382572622111184,0.697341626743621878503631705826
142,142_0,COMPLETED,BoTorch,0.251690786300048263690598560061,50,1.000000000000000000000000000000,0.521446287426022614397425058996
143,143_0,COMPLETED,BoTorch,0.251382054992764114587089352426,50,1.000000000000000000000000000000,0.521917893307950686576646148751
144,144_0,COMPLETED,BoTorch,0.261052821997105666262939394073,76,0.893324286709682557905409794330,0.540606580259798907839297044120
145,145_0,COMPLETED,BoTorch,0.251304872165943105066787666146,50,0.340601703755768203674136884729,0.500000000000000000000000000000
