start_time,end_time,run_time,program_string,n_reference_samples,recent_samples_proportion,threshold,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727633423,1727634037,614,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.25138687891944045,0,None,i7181,607,2.2563868034991905e-05
1727633447,1727634054,607,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 0.32068002273610724 threshold 0.5216447085582108,50,0.32068002273610724,0.5216447085582108,0.2505607814761216,0,None,i7181,600,2.276888308997257e-05
1727633593,1727634113,520,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 155 recent_samples_proportion 0.5765192146566418 threshold 0.5630192470693507,155,0.5765192146566418,0.5630192470693507,0.27848046309696095,0,None,i7181,514,6.468731248455754e-05
1727633746,1727634348,602,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.2514604438012542,0,None,i7181,596,2.2598288026554738e-05
1727633688,1727634358,670,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.2513458755426917,0,None,i7186,662,2.256361419702285e-05
1727633706,1727634387,681,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.2513603473227207,0,None,i7186,674,2.257800897291361e-05
1727633847,1727634537,690,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.2513482875060299,0,None,i7186,683,2.257597090398972e-05
1727633877,1727634565,688,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.25135190545103714,0,None,i7186,681,2.259383542246283e-05
1727633887,1727634568,681,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.2513482875060299,0,None,i7186,674,2.2560688708300866e-05
1727633998,1727634602,604,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 95 recent_samples_proportion 0.8120398497208953 threshold 0.7295133444480598,95,0.8120398497208953,0.7295133444480598,0.2650856246985046,0,None,i7186,597,4.20688905957814e-05
1727634027,1727634603,576,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 150 recent_samples_proportion 0.6954456841354097 threshold 0.5454504516725529,150,0.6954456841354097,0.5454504516725529,0.2773191027496382,0,None,i7186,569,6.280242925263288e-05
1727634087,1727634611,524,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 369 recent_samples_proportion 0.5623046410192547 threshold 0.7148263738937223,369,0.5623046410192547,0.7148263738937223,0.2931283164495899,0,None,i7181,518,0.00015066380452983722
1727634108,1727634630,522,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 278 recent_samples_proportion 0.5226335479877889 threshold 0.7114014872349799,278,0.5226335479877889,0.7114014872349799,0.2882368547998071,0,None,i7181,515,0.00011630427661943981
1727633947,1727634630,683,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.2513627592860589,0,None,i7186,676,2.256396379207608e-05
1727633967,1727634651,684,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 0.9999999999999999 threshold 0.5,50,0.9999999999999999,0.5,0.25137361312108053,0,None,i7186,677,2.2563295740434445e-05
1727633967,1727634654,687,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.25137361312108053,0,None,i7186,680,2.2563295740434445e-05
1727634107,1727634709,602,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 0.8816453722305596 threshold 0.579951639752835,50,0.8816453722305596,0.579951639752835,0.25096840328027015,0,None,i7181,596,2.2718278800027784e-05
1727634239,1727634712,473,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 103 recent_samples_proportion 0.5003455963917077 threshold 0.5080127004534006,103,0.5003455963917077,0.5080127004534006,0.265888808490111,0,None,i7174,467,4.431348905296513e-05
1727634227,1727634757,530,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 57 recent_samples_proportion 0.8755853431112118 threshold 0.7237239072532964,57,0.8755853431112118,0.7237239072532964,0.2554124457308249,0,None,i7174,522,2.6390088315991706e-05
1727634207,1727634771,564,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 73 recent_samples_proportion 0.7295380206778646 threshold 0.5297387541271746,73,0.7295380206778646,0.5297387541271746,0.25930173661360345,0,None,i7181,557,3.209752482569496e-05
1727634207,1727634773,566,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 73 recent_samples_proportion 0.6086407023482024 threshold 0.7505697142332792,73,0.6086407023482024,0.7505697142332792,0.2602424023154848,0,None,i7181,560,3.317417014749459e-05
1727634180,1727634785,605,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.2517667631452002,0,None,i7181,598,2.261565685960467e-05
1727634187,1727634791,604,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.2513555233960444,0,None,i7181,597,2.257552531682213e-05
1727634387,1727634924,537,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 366 recent_samples_proportion 0.3789250830188394 threshold 0.6412263085134328,366,0.3789250830188394,0.6412263085134328,0.29454655089242643,0,None,i7186,529,0.00014450979808913877
