trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
98,,,,,,,,,,,,,,,98_0,COMPLETED,SOBOL,67.000000000000000000000000000000,9.410000000000000142108547152020,4981,3061,0.243646394845098257508908545788,41,0.01
99,,,,,,,,,,,,,,,99_0,COMPLETED,SOBOL,5.000000000000000000000000000000,9.279999999999999360511537815910,1112,2403,0.504535475393757204543021543941,7,0.1
100,,,,,,,,,,,,,,,100_0,COMPLETED,SOBOL,3.000000000000000000000000000000,9.900000000000000355271367880050,162,3597,0.386890744837000977174312765783,46,0.1
101,,,,,,,,,,,,,,,101_0,COMPLETED,SOBOL,141.000000000000000000000000000000,4.219999999999999751310042483965,4031,1843,0.866092323526740037742399636045,5,0.001
102,,,,,,,,,,,,,,,102_0,COMPLETED,SOBOL,3.000000000000000000000000000000,2.799999999999999822364316059975,3302,4668,0.660896566532552243167231154075,20,0.25
103,,,,,,,,,,,,,,,103_0,COMPLETED,SOBOL,10.000000000000000000000000000000,137.449999999999988631316227838397,2170,171,0.088006854603067036224572916581,29,0.05
104,,,,,,,,,,,,,,,104_0,COMPLETED,SOBOL,14.000000000000000000000000000000,19.949999999999999289457264239900,2370,2644,0.588009634979069217841640693223,26,0.005
105,,,,,,,,,,,,,,,105_0,COMPLETED,SOBOL,8.000000000000000000000000000000,6.910000000000000142108547152020,3737,1896,0.162899352485314008465167034956,23,0.025
106,,,,,,,,,,,,,,,106_0,COMPLETED,SOBOL,4.000000000000000000000000000000,8.740000000000000213162820728030,4221,4096,0.364203259991481897994702876531,2,0.001
107,,,,,,,,,,,,,,,107_0,COMPLETED,SOBOL,7.000000000000000000000000000000,27.050000000000000710542735760100,587,1094,0.883001675724983225990172286402,49,0.1
