trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
21,,,,,,,,,,,,,,,21_0,FAILED,SOBOL,,,4487,4667,4179,0.201949474692344671522548082976,0.888639814047142873043583222170,9.350564647059886880242629558779,str\(\'t-test\'\),13,str\(\'bounded\'\)
22,,,,,,,,,,,,,,,22_0,FAILED,SOBOL,,,3137,1267,1798,0.712713689915835835186896929372,0.562131414577364929563429996051,6.781194592978805779637241357705,str\(\'ks-test\'\),23,str\(\'bounded\'\)
23,,,,,,,,,,,,,,,23_0,FAILED,SOBOL,,,946,2970,3673,0.343384821470826884226568154190,0.099250899435952305571717602106,0.595815300596877928107630850718,str\(\'t-test\'\),43,str\(\'bounded\'\)
24,,,,,,,,,,,,,,,24_0,FAILED,SOBOL,,,816,83,1305,0.183322971299290649049851253949,0.707097981320694124462988838786,1.525547195639461284244475791638,str\(\'ks-test\'\),27,str\(\'bounded\'\)
25,,,,,,,,,,,,,,,25_0,FAILED,SOBOL,,,3619,4315,3179,0.810040058348327929316212703270,0.140800067991018296176264357200,5.221114829374477572798696201062,str\(\'t-test\'\),8,str\(\'bounded\'\)
26,,,,,,,,,,,,,,,26_0,FAILED,SOBOL,,,4924,2244,843,0.291860418479889638376789662289,0.311363457424566170139712539822,7.790400551317260280370646796655,str\(\'ks-test\'\),22,str\(\'bounded\'\)
27,,,,,,,,,,,,,,,27_0,FAILED,SOBOL,,,2128,3321,3968,0.671031553752720388850150357030,0.848413540232926588480211194110,3.975218060176819889761645754334,str\(\'t-test\'\),38,str\(\'bounded\'\)
28,,,,,,,,,,,,,,,28_0,FAILED,SOBOL,,,1784,1869,2619,0.617662875473499295431167865900,0.990871935190632990853032424639,0.923321450509131058659306745540,str\(\'ks-test\'\),18,str\(\'bounded\'\)
29,,,,,,,,,,,,,,,29_0,FAILED,SOBOL,,,3979,2646,1995,0.497772119868546747412096920016,0.418766607508063326559266670301,7.078016993509606002987766260048,str\(\'t-test\'\),50,str\(\'bounded\'\)
30,,,,,,,,,,,,,,,30_0,FAILED,SOBOL,,,2786,807,4687,0.977409473057836319931368507241,0.029894653407856821430987892541,9.686442065419628377753724635113,str\(\'ks-test\'\),35,str\(\'bounded\'\)
31,,,,,,,,,,,,,,,31_0,FAILED,SOBOL,,,594,4719,313,0.107066684298217293380695025462,0.568872807893902043829825743160,3.334015073500573578257899498567,str\(\'t-test\'\),6,str\(\'bounded\'\)
32,,,,,,,,,,,,,,,32_0,FAILED,SOBOL,,,535,1572,2293,0.314003777034580711102762506926,0.474988899720832691286886984017,3.764311120805330812544298169087,str\(\'ks-test\'\),7,str\(\'bounded\'\)
33,,,,,,,,,,,,,,,33_0,FAILED,SOBOL,,,2728,2670,2919,0.691163780372589853229214895691,0.934040519554168002791527669615,7.615595552216285035740384046221,str\(\'t-test\'\),28,str\(\'bounded\'\)
34,,,,,,,,,,,,,,,34_0,FAILED,SOBOL,,,4035,754,557,0.204003393385559311790089509486,0.512041356937959823980577311886,5.009701338435523787495640135603,str\(\'ks-test\'\),39,str\(\'bounded\'\)
35,,,,,,,,,,,,,,,35_0,FAILED,SOBOL,,,1845,4967,4933,0.832609830811619766599562808551,0.086116966068744665863121667826,1.351265435737557751849635678809,str\(\'t-test\'\),21,str\(\'bounded\'\)
36,,,,,,,,,,,,,,,36_0,FAILED,SOBOL,,,2067,233,3472,0.876689248614013205695982833277,0.193489430962130420921241125143,3.156940593750216184076862191432,str\(\'ks-test\'\),50,str\(\'bounded\'\)
37,,,,,,,,,,,,,,,37_0,FAILED,SOBOL,,,4867,4126,1596,0.008355561848729847751471311312,0.654530451957136438778661613469,9.468039958260021649039117619395,str\(\'t-test\'\),17,str\(\'bounded\'\)
38,,,,,,,,,,,,,,,38_0,FAILED,SOBOL,,,3673,2442,4226,0.519378181803971550323240080616,0.795846035035327026285756346624,6.901122390038334941664288635366,str\(\'ks-test\'\),5,str\(\'bounded\'\)
39,,,,,,,,,,,,,,,39_0,FAILED,SOBOL,,,879,3240,1101,0.397600076019763937207329718149,0.364052781358361221553110453897,0.704756154702045112259156667278,str\(\'t-test\'\),36,str\(\'bounded\'\)
40,,,,,,,,,,,,,,,40_0,FAILED,SOBOL,,,1043,1131,3879,0.112782994847744705291248124013,0.940720929145812956306826890795,2.274684526390395866712879069382,str\(\'ks-test\'\),45,str\(\'bounded\'\)
41,,,,,,,,,,,,,,,41_0,FAILED,SOBOL,,,3235,4399,755,0.990949311800301102515220463829,0.405693622546270504791721123183,5.961706379280426126854308677139,str\(\'t-test\'\),15,str\(\'bounded\'\)
42,,,,,,,,,,,,,,,42_0,FAILED,SOBOL,,,4386,1544,3428,0.472540771976113327390578433551,0.046073257703334091761604440762,8.528543191284873259405685530510,str\(\'ks-test\'\),1,str\(\'bounded\'\)
43,,,,,,,,,,,,,,,43_0,FAILED,SOBOL,,,2197,2966,1553,0.600262677345424933150752622169,0.614212628198787524702595419512,4.726785229287110645657321583712,str\(\'t-test\'\),35,str\(\'bounded\'\)
44,,,,,,,,,,,,,,,44_0,FAILED,SOBOL,,,1403,1924,45,0.672601967390626720444402053545,0.726005327537655786862558215944,0.416481397475115977524495747275,str\(\'ks-test\'\),12,str\(\'bounded\'\)
45,,,,,,,,,,,,,,,45_0,FAILED,SOBOL,,,4203,3646,4420,0.301261974446475511157927940076,0.185124326916411507948367898280,6.565070980769582398295369785046,str\(\'t-test\'\),30,str\(\'bounded\'\)
46,,,,,,,,,,,,,,,46_0,FAILED,SOBOL,,,2852,403,2104,0.781157732367515511562316987693,0.264053509239107364603427186012,9.171048334714956951074782409705,str\(\'ks-test\'\),44,str\(\'bounded\'\)
47,,,,,,,,,,,,,,,47_0,FAILED,SOBOL,,,59,3990,2728,0.162264180947095160156834481313,0.834197449682280378624454897363,2.829603666852228194272811379051,str\(\'t-test\'\),23,str\(\'bounded\'\)
48,,,,,,,,,,,,,,,48_0,FAILED,SOBOL,,,268,585,880,0.549192133355885792056483296619,0.120854632144793874837240821307,6.518276822350919985638029174879,str\(\'t-test\'\),43,str\(\'bounded\'\)
49,,,,,,,,,,,,,,,49_0,FAILED,SOBOL,,,3073,3852,4005,0.429302273750305163346752124198,0.533096151541918472638315051881,0.175290075780823839668443042683,str\(\'ks-test\'\),25,str\(\'bounded\'\)
50,,,,,,,,,,,,,,,50_0,FAILED,SOBOL,,,4227,2091,1347,0.908467825643718196459985847468,0.890782667184248588831962933909,2.764105094598606093825310381362,str\(\'t-test\'\),10,str\(\'bounded\'\)
51,,,,,,,,,,,,,,,51_0,FAILED,SOBOL,,,1419,3513,3221,0.038124066527932883030604926944,0.449297064848244165347068701521,8.909359796263277786465550889261,str\(\'ks-test\'\),31,str\(\'bounded\'\)
52,,,,,,,,,,,,,,,52_0,FAILED,SOBOL,,,2485,1377,4567,0.236678594384342438905477479238,0.337413107415661217558522366744,5.871766796331852944490492518526,str\(\'t-test\'\),2,str\(\'bounded\'\)
53,,,,,,,,,,,,,,,53_0,FAILED,SOBOL,,,4684,3099,193,0.863396666660904865686632092547,0.751578950908035059441658631840,2.066711574373766957535281107994,str\(\'ks-test\'\),33,str\(\'bounded\'\)
54,,,,,,,,,,,,,,,54_0,FAILED,SOBOL,,,3339,950,2505,0.344744690127670783130753306978,0.674583870599046342420024302555,4.616548755658791414191455260152,str\(\'t-test\'\),47,str\(\'bounded\'\)
55,,,,,,,,,,,,,,,55_0,FAILED,SOBOL,,,1135,4537,1880,0.723914884787052903547532878292,0.227287106327712540299046395376,8.301989716198296065385875408538,str\(\'ks-test\'\),13,str\(\'bounded\'\)
56,,,,,,,,,,,,,,,56_0,COMPLETED,SOBOL,897.000000000000000000000000000000,0.000000000000000000000000000000,698,2275,3106,0.751330396592617022477611499198,0.586373250134289314416946581332,9.871243766022846699570436612703,str\(\'t-test\'\),4,str\(\'bounded\'\)
57,,,,,,,,,,,,,,,57_0,FAILED,SOBOL,,,3502,3373,2480,0.130548480022698643043810307063,0.004475405896082520693091133523,3.676424377288669553820454893867,str\(\'ks-test\'\),38,str\(\'bounded\'\)
58,,,,,,,,,,,,,,,58_0,FAILED,SOBOL,,,4813,51,4827,0.640840343710035065249996932835,0.424540674697607756105099952038,1.126664376299828296268401572888,str\(\'t-test\'\),48,str\(\'bounded\'\)
59,,,,,,,,,,,,,,,59_0,FAILED,SOBOL,,,2005,4264,451,0.271510542087256889765001233172,0.977179270928725585143581611192,7.441103390334174783049547841074,str\(\'ks-test\'\),18,str\(\'bounded\'\)
60,,,,,,,,,,,,,,,60_0,RUNNING,SOBOL,,,1587,936,1761,0.439848379686474777461313578897,0.869654173843562583456900938472,7.974062948571519093832193902927,str\(\'t-test\'\),40,str\(\'bounded\'\)
61,,,,,,,,,,,,,,,61_0,RUNNING,SOBOL,,,3785,4829,3636,0.569458531234413367627666957560,0.281960336456075322253411741258,4.318929073728621226280210976256,str\(\'ks-test\'\),19,str\(\'bounded\'\)
62,,,,,,,,,,,,,,,62_0,RUNNING,SOBOL,,,2596,1739,1012,0.082055228035897015415045530062,0.142578870262950657687994748812,1.730029722772538747221915400587,str\(\'t-test\'\),9,str\(\'bounded\'\)
63,,,,,,,,,,,,,,,63_0,RUNNING,SOBOL,,,393,2537,4137,0.958211472637951366948527720524,0.697156959375366591658007564547,5.582899814428762041984555253293,str\(\'ks-test\'\),27,str\(\'bounded\'\)
64,,,,,,,,,,,,,,,64_0,RUNNING,SOBOL,,,455,2462,1194,0.137994432779029008173665715731,0.921688164394348863339700983488,8.233229866690003007079212693498,str\(\'ks-test\'\),32,str\(\'bounded\'\)
65,,,,,,,,,,,,,,,65_0,RUNNING,SOBOL,,,2651,3260,4319,0.758867756156250794496997968963,0.480157414471730603633403688946,4.391669631109573757044017838780,str\(\'t-test\'\),10,str\(\'bounded\'\)
66,,,,,,,,,,,,,,,66_0,RUNNING,SOBOL,,,3801,174,1660,0.279686975991353392601013183594,0.089324714459478857242480387413,1.978626329989172427659127606603,str\(\'ks-test\'\),24,str\(\'bounded\'\)
67,,,,,,,,,,,,,,,67_0,RUNNING,SOBOL,,,1610,4068,3535,0.649108184421435030486691175611,0.501641960674896858485283246409,5.627333268961869805480091599748,str\(\'t-test\'\),42,str\(\'bounded\'\)
68,,,,,,,,,,,,,,,68_0,RUNNING,SOBOL,,,1989,735,4879,0.577210982697084595827163866488,0.643738801296800389195595926140,8.840643379296176718185051868204,str\(\'ks-test\'\),13,str\(\'bounded\'\)
69,,,,,,,,,,,,,,,69_0,RUNNING,SOBOL,,,4789,4948,504,0.447570352299138884966112073016,0.196366313925012941909997721268,2.539344347936101087270799325779,str\(\'t-test\'\),47,str\(\'bounded\'\)
70,,,,,,,,,,,,,,,70_0,RUNNING,SOBOL,,,3440,1631,2816,0.966207100560888654250391027745,0.368882593475282183348440412374,0.087162292835302662696861375480,str\(\'ks-test\'\),33,str\(\'bounded\'\)
71,,,,,,,,,,,,,,,71_0,RUNNING,SOBOL,,,643,2729,2191,0.090020377108827237533361653732,0.783093588272109619730088070355,6.273723427127116281099006300792,str\(\'t-test\'\),3,str\(\'bounded\'\)
72,,,,,,,,,,,,,,,72_0,RUNNING,SOBOL,,,1119,462,2792,0.436687350599095247538627972972,0.393558976644650115872536844108,5.339192050036975167870423319982,str\(\'ks-test\'\),18,str\(\'bounded\'\)
73,,,,,,,,,,,,,,,73_0,RUNNING,SOBOL,,,3316,4049,2166,0.556546716483309888978681101435,0.946151469804346612058054688532,1.642441382418386552899391972460,str\(\'t-test\'\),49,str\(\'bounded\'\)
74,,,,,,,,,,,,,,,74_0,RUNNING,SOBOL,,,4621,1904,4513,0.046239624524489049417486086213,0.617705140804871932758146613196,4.094544469262474173376631370047,str\(\'ks-test\'\),37,str\(\'bounded\'\)
75,,,,,,,,,,,,,,,75_0,COMPLETED,SOBOL,958.000000000000000000000000000000,0.000000000000000000000000000000,2431,3626,138,0.916552889918908486599491425295,0.035883971434086558982556880437,7.906026478094049458889003290096,str\(\'t-test\'\),4,str\(\'bounded\'\)
76,,,,,,,,,,,,,,,76_0,RUNNING,SOBOL,,,1481,1486,1450,0.870966356558725229852768734418,0.173621966579928982410407911630,7.197352342397906888038505712757,str\(\'ks-test\'\),26,str\(\'bounded\'\)
77,,,,,,,,,,,,,,,77_0,RUNNING,SOBOL,,,4282,2907,3325,0.244339676218107343386165553056,0.728123377107083746828664061468,1.038957509062252926312908130058,str\(\'t-test\'\),8,str\(\'bounded\'\)
78,,,,,,,,,,,,,,,78_0,RUNNING,SOBOL,,,3089,1151,700,0.731727751145139326816035918455,0.838260888626799038902959182451,3.452082162386737707038264488801,str\(\'ks-test\'\),20,str\(\'bounded\'\)
79,,,,,,,,,,,,,,,79_0,RUNNING,SOBOL,,,291,4419,3826,0.352648948421701802224959010346,0.250613150592893352275325469236,9.803327312395907711106701754034,str\(\'t-test\'\),41,str\(\'bounded\'\)
80,,,,,,,,,,,,,,,80_0,RUNNING,SOBOL,,,33,1008,1982,0.998760177960619333070724223944,0.542886498738080258696925284312,0.792921857310459055057094701624,str\(\'t-test\'\),21,str\(\'bounded\'\)
81,,,,,,,,,,,,,,,81_0,RUNNING,SOBOL,,,2839,4595,2607,0.120685208329930904191940044257,0.117037715716287488154634388593,7.145637567605824358452082378790,str\(\'ks-test\'\),39,str\(\'bounded\'\)
82,,,,,,,,,,,,,,,82_0,RUNNING,SOBOL,,,4151,1357,246,0.607830367045476993581587521476,0.443519456416368473838929276098,9.536718157570808429568387509789,str\(\'t-test\'\),28,str\(\'bounded\'\)
83,,,,,,,,,,,,,,,83_0,RUNNING,SOBOL,,,1339,3079,4622,0.480199808998033383922177108616,0.902525809692218849988876172574,3.381739260075613984213305229787,str\(\'ks-test\'\),7,str\(\'bounded\'\)
84,,,,,,,,,,,,,,,84_0,RUNNING,SOBOL,,,2249,2032,3158,0.309379279827699082972003452596,0.764940461609512567520141601562,1.439312760459259044054647347366,str\(\'t-test\'\),36,str\(\'bounded\'\)
85,,,,,,,,,,,,,,,85_0,RUNNING,SOBOL,,,4451,3454,1282,0.680688853407278693374848899111,0.333192478207871345396995366173,5.254173083461822102435689885169,str\(\'ks-test\'\),6,str\(\'bounded\'\)
86,,,,,,,,,,,,,,,86_0,RUNNING,SOBOL,,,3261,604,3912,0.169651005180552594264753452080,0.225019302174448959652508506224,7.684393619380892381798275891924,str\(\'t-test\'\),16,str\(\'bounded\'\)
87,,,,,,,,,,,,,,,87_0,RUNNING,SOBOL,,,1056,3872,787,0.788514137236401402297758522764,0.685984719039872237189570114424,3.989152325691655232020593757625,str\(\'ks-test\'\),50,str\(\'bounded\'\)
88,,,,,,,,,,,,,,,88_0,RUNNING,SOBOL,,,931,1759,4190,0.699157363483682292581988804159,0.015030207859352232024896522944,3.053907813094556278343816302367,str\(\'t-test\'\),34,str\(\'bounded\'\)
89,,,,,,,,,,,,,,,89_0,RUNNING,SOBOL,,,3737,2557,1066,0.321966925909742740508079350548,0.583246134251356074251759764593,9.239003154994920308240580197889,str\(\'ks-test\'\),1,str\(\'bounded\'\)
90,,,,,,,,,,,,,,,90_0,FAILED,SOBOL,,,2065,4039,1843,0.688740029573440604160339262307,0.505221631526946990398130310496,9.254338213086128916984307579696,str\(\'ks-test\'\),17,str\(\'bounded\'\)
91,,,,,,,,,,,,,,,91_0,FAILED,SOBOL,,,2719,1683,4729,0.283602206973358972330601091016,0.469281130908057120265652883973,1.787893545256927563258386726375,str\(\'t-test\'\),27,str\(\'bounded\'\)
92,,,,,,,,,,,,,,,92_0,FAILED,SOBOL,,,4689,3527,619,0.899515048250555948605722278444,0.134418188845738778569582905220,2.895598398152738894850699580275,str\(\'ks-test\'\),44,str\(\'bounded\'\)
93,,,,,,,,,,,,,,,93_0,FAILED,SOBOL,,,362,867,3514,0.119607351757586008456080151063,0.856479894479736714174578082748,5.441828145574779007631605054485,str\(\'t-test\'\),1,str\(\'bounded\'\)
94,,,,,,,,,,,,,,,94_0,FAILED,SOBOL,,,853,2696,4005,0.199939402341842653587633549250,0.889047316234558793190956293984,8.643269159303978099728738015983,str\(\'ks-test\'\),47,str\(\'bounded\'\)
95,,,,,,,,,,,,,,,95_0,FAILED,SOBOL,,,3930,370,1901,0.792632431976497131564940445969,0.104362928118556741452493952238,1.097825336569920207097084130510,str\(\'t-test\'\),10,str\(\'bounded\'\)
96,,,,,,,,,,,,,,,96_0,FAILED,SOBOL,,,3479,4694,2754,0.395089174410328258790769950792,0.253003204751759747104244979710,4.832203931521624973299822158879,str\(\'ks-test\'\),20,str\(\'bounded\'\)
97,,,,,,,,,,,,,,,97_0,FAILED,SOBOL,,,1575,2044,639,0.613077497376129043615833325021,0.725808785799890721079918876057,7.301227308336645904773831716739,str\(\'t-test\'\),37,str\(\'bounded\'\)
98,,,,,,,,,,,,,,,98_0,FAILED,SOBOL,,,1451,3436,2884,0.818340430157259102195155264781,0.379915425045415755533895207918,6.114117331060581861379432666581,str\(\'ks-test\'\),49,str\(\'bounded\'\)
99,,,,,,,,,,,,,,,99_0,FAILED,SOBOL,,,3297,1076,1248,0.163746863791719071690167197630,0.595427938161417813489606487565,3.666034547965042467154717087396,str\(\'t-test\'\),8,str\(\'bounded\'\)
100,,,,,,,,,,,,,,,100_0,FAILED,SOBOL,,,4141,4174,4109,0.530114525880664544388309877831,0.758721552109345775960491664591,2.283751702600158584033351871767,str\(\'ks-test\'\),23,str\(\'bounded\'\)
101,,,,,,,,,,,,,,,101_0,FAILED,SOBOL,,,967,1510,2464,0.498754863876849419135339758213,0.231337846061214796877791854968,9.810619807408190951036885962822,str\(\'t-test\'\),34,str\(\'bounded\'\)
102,,,,,,,,,,,,,,,102_0,FAILED,SOBOL,,,163,4593,16,0.323676530819386243376101219837,0.015360901337116955600592405062,6.764535578052513820068725181045,str\(\'ks-test\'\),14,str\(\'bounded\'\)
103,,,,,,,,,,,,,,,103_0,FAILED,SOBOL,,,4588,2262,3370,0.666947099719196523359698858258,0.979129539038985918786295314931,4.238636133822613061283846036531,str\(\'t-test\'\),31,str\(\'bounded\'\)
104,,,,,,,,,,,,,,,104_0,FAILED,SOBOL,,,2850,2841,1274,0.019827254654839636394125790275,0.627686764348298287252703175909,0.464002501533366751296227903367,str\(\'ks-test\'\),40,str\(\'bounded\'\)
105,,,,,,,,,,,,,,,105_0,FAILED,SOBOL,,,2255,186,4638,0.986389309817925052925602358300,0.350046933714300401163654896664,7.912481499844231436213704000693,str\(\'t-test\'\),5,str\(\'bounded\'\)
106,,,,,,,,,,,,,,,106_0,FAILED,SOBOL,,,2443,3031,1066,0.435987716367468247646854706545,0.815677652006968845199708084692,3.956670819247141590579985859222,str\(\'t-test\'\),39,str\(\'bounded\'\)
107,,,,,,,,,,,,,,,107_0,FAILED,SOBOL,,,3116,74,3024,0.591671202404424501075652642612,0.163540376832708722609766027745,6.409206816034392240055694855982,str\(\'ks-test\'\),5,str\(\'bounded\'\)
108,,,,,,,,,,,,,,,108_0,FAILED,SOBOL,,,4468,4402,2334,0.225242052823305116682206516998,0.451610647691413735760335157465,7.645065527830273488518741942244,str\(\'t-test\'\),16,str\(\'bounded\'\)
109,,,,,,,,,,,,,,,109_0,FAILED,SOBOL,,,121,2374,4282,0.755634528480470191169615645777,0.542369115797802781031577978865,0.113648851435631526030078930489,str\(\'ks-test\'\),29,str\(\'bounded\'\)
110,,,,,,,,,,,,,,,110_0,FAILED,SOBOL,,,1233,4374,3240,0.924832867518067369694279022951,0.696458188612014028606722604309,3.318141317801550194133142213104,str\(\'t-test\'\),25,str\(\'bounded\'\)
111,,,,,,,,,,,,,,,111_0,FAILED,SOBOL,,,4329,1388,188,0.082594160504639149711358925288,0.294064312968403074322054635559,5.849123337829485791417027940042,str\(\'ks-test\'\),32,str\(\'bounded\'\)
112,,,,,,,,,,,,,,,112_0,FAILED,SOBOL,,,3255,3236,4456,0.729653711503371549262908501987,0.067443865131586788752571237637,9.457789235990494702832620532718,str\(\'t-test\'\),49,str\(\'bounded\'\)
113,,,,,,,,,,,,,,,113_0,FAILED,SOBOL,,,1332,1198,1415,0.262180624244734650218902061170,0.906458933707326663942183131439,2.004170447144657529747746593785,str\(\'ks-test\'\),8,str\(\'bounded\'\)
114,,,,,,,,,,,,,,,114_0,FAILED,SOBOL,,,1856,4884,4909,0.056901507707312705408586595013,0.190516568249091494680058644917,0.827968221071176291303572725155,str\(\'t-test\'\),21,str\(\'bounded\'\)
115,,,,,,,,,,,,,,,115_0,FAILED,SOBOL,,,3681,1932,1701,0.961010309780016558356408040709,0.787832318892702443413611490541,8.300239014158956152300561370794,str\(\'ks-test\'\),36,str\(\'bounded\'\)
116,,,,,,,,,,,,,,,116_0,FAILED,SOBOL,,,3893,2506,3647,0.345158699464052920458101425538,0.577768876148387788838078904519,7.026585498713888711108666029759,str\(\'t-test\'\),45,str\(\'bounded\'\)
117,,,,,,,,,,,,,,,117_0,FAILED,SOBOL,,,738,482,449,0.625972684089094455472945810470,0.417081932572647917645269899367,4.474434026018716537009822786786,str\(\'ks-test\'\),13,str\(\'bounded\'\)
118,,,,,,,,,,,,,,,118_0,FAILED,SOBOL,,,565,3727,2034,0.551581525739282318987477538030,0.320677301187068219956444181662,1.427739506135694558253135255654,str\(\'t-test\'\),42,str\(\'bounded\'\)
119,,,,,,,,,,,,,,,119_0,FAILED,SOBOL,,,4970,745,3836,0.457795736003667130820105057865,0.668736451361328310127873919555,8.977197896244936359266830550041,str\(\'ks-test\'\),3,str\(\'bounded\'\)
120,,,,,,,,,,,,,,,120_0,FAILED,SOBOL,,,2604,3839,819,0.855399514423683338115722563089,0.942221897255629325940162743791,5.096376096145250222946287976811,str\(\'t-test\'\),18,str\(\'bounded\'\)
121,,,,,,,,,,,,,,,121_0,FAILED,SOBOL,,,2029,1805,2611,0.138383151510730384448066843106,0.032791554149240259574682454513,2.623280937218107400354938363307,str\(\'ks-test\'\),26,str\(\'bounded\'\)
122,,,,,,,,,,,,,,,122_0,FAILED,SOBOL,,,1897,3493,4166,0.280541402479633716904316997898,0.735681432025507064942360102577,4.584104293521494177809927350609,str\(\'t-test\'\),35,str\(\'bounded\'\)
123,,,,,,,,,,,,,,,123_0,FAILED,SOBOL,,,2570,825,2365,0.748084452046081427312174128019,0.270916378321126083417169638778,7.031800877142698524835395801347,str\(\'ks-test\'\),22,str\(\'bounded\'\)
124,,,,,,,,,,,,,,,124_0,FAILED,SOBOL,,,4858,3919,2905,0.069795976877212520528281913812,0.122266650939360260741395336481,8.267616715135051919105535489507,str\(\'t-test\'\),12,str\(\'bounded\'\)
