trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
1208,1754731078.000000000000000000000000000000,1754731634.000000000000000000000000000000,556.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1339 n_samples 96 k_neighbors 1 n_permutations 112 significance_level 0.4854491170533001,0.000000000000000000000000000000,,i7138,509.000000000000000000000000000000,579.722656250000000000000000000000,563.722656250000000000000000000000,-1.000000000000000000000000000000,0.320000000000000006661338147751,1.618249999999999966249220051395,5779381.000000000000000000000000000000,1208_0,COMPLETED,SOBOL,509.000000000000000000000000000000,2.680000000000000159872115546023,1339,96,1,112,0.485449117053300127633264082760
1209,,,,,,,,,,,,,,,1209_0,RUNNING,SOBOL,,,903,2880,68,938,0.139142201468348492010562722498
1210,,,,,,,,,,,,,,,1210_0,RUNNING,SOBOL,,,4741,1365,45,358,0.657678041983395855751837189018
1211,,,,,,,,,,,,,,,1211_0,FAILED,SOBOL,,,4162,3653,15,439,0.520634001139551383374737270060
1212,,,,,,,,,,,,,,,1212_0,FAILED,SOBOL,,,188,2144,98,767,0.056916249871253966896578191381
1213,,,,,,,,,,,,,,,1213_0,FAILED,SOBOL,,,1938,4884,35,216,0.318673779670149093234954307263
1214,,,,,,,,,,,,,,,1214_0,FAILED,SOBOL,,,3744,874,55,513,0.852350764095783253182503358403
1215,,,,,,,,,,,,,,,1215_0,FAILED,SOBOL,,,3413,2629,29,858,0.400281533526256672050891438630
1216,,,,,,,,,,,,,,,1216_0,FAILED,SOBOL,,,2231,1567,58,434,0.926740235475823292965458222170
1217,,,,,,,,,,,,,,,1217_0,FAILED,SOBOL,,,479,3899,24,612,0.696352472769096508820041435683
