trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
759,1753431009.000000000000000000000000000000,1753431034.000000000000000000000000000000,25.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 1801 n_subspaces 15 feature_percentage 0.10831506702490151 alpha 0.9089189418088645 window_size 341 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7147,14.000000000000000000000000000000,709.609375000000000000000000000000,705.109375000000000000000000000000,-1.000000000000000000000000000000,0.699999999999999955591079014994,0.996769230769230851763040845981,5679520.000000000000000000000000000000,759_0,COMPLETED,SOBOL,14.000000000000000000000000000000,44.829999999999998294697434175760,1801,15,0.108315067024901512393597613482,0.908918941808864455644823010516,341,EDFSMode.RANDOM
760,1753431009.000000000000000000000000000000,1753431041.000000000000000000000000000000,32.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 1295 n_subspaces 69 feature_percentage 0.73199419105798 alpha 0.5089300121311099 window_size 563 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7140,23.000000000000000000000000000000,705.765625000000000000000000000000,705.365625000000022737367544323206,-1.000000000000000000000000000000,0.699999999999999955591079014994,0.952769230769230812683190379175,5679524.000000000000000000000000000000,760_0,COMPLETED,SOBOL,23.000000000000000000000000000000,27.440000000000001278976924368180,1295,69,0.731994191057980025938434209820,0.508930012131109887896229793114,563,EDFSMode.RANDOM
761,1753431022.000000000000000000000000000000,1753431053.000000000000000000000000000000,31.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 4833 n_subspaces 38 feature_percentage 0.010411369204521178 alpha 0.24526099779643118 window_size 515 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7139,10.000000000000000000000000000000,704.722656250000000000000000000000,704.722656250000000000000000000000,-1.000000000000000000000000000000,0.699999999999999955591079014994,0.950769230769230810906833539775,5679528.000000000000000000000000000000,761_0,COMPLETED,SOBOL,10.000000000000000000000000000000,24.899999999999998578914528479800,4833,38,0.010411369204521177950217847297,0.245260997796431179374110342906,515,EDFSMode.RANDOM
762,1753431042.000000000000000000000000000000,1753431161.000000000000000000000000000000,119.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3165 n_subspaces 81 feature_percentage 0.9612452837564052 alpha 0.9915144680514931 window_size 141 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7183,105.000000000000000000000000000000,725.210937500000000000000000000000,709.518629807692263966600876301527,-1.000000000000000000000000000000,0.680000000000000048849813083507,0.997846153846153827160492255643,5679531.000000000000000000000000000000,762_0,COMPLETED,SOBOL,105.000000000000000000000000000000,111.760000000000005115907697472721,3165,81,0.961245283756405166641911819170,0.991514468051493125244633120019,141,EDFSMode.RANDOM
763,1753431040.000000000000000000000000000000,1753431052.000000000000000000000000000000,12.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 454 n_subspaces 1 feature_percentage 0.3117905898056924 alpha 0.26210292790085077 window_size 995 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7141,3.000000000000000000000000000000,706.089843750000000000000000000000,706.089843750000000000000000000000,-1.000000000000000000000000000000,0.680000000000000048849813083507,0.209538461538461506794561728384,5679535.000000000000000000000000000000,763_0,COMPLETED,SOBOL,3.000000000000000000000000000000,8.410000000000000142108547152020,454,1,0.311790589805692408553738914634,0.262102927900850768416773917124,995,EDFSMode.RANDOM
764,1753431072.000000000000000000000000000000,1753431120.000000000000000000000000000000,48.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 738 n_subspaces 97 feature_percentage 0.22077297154068948 alpha 0.4578776539545506 window_size 876 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7150,10.000000000000000000000000000000,704.097656250000000000000000000000,703.430989583333371228945907205343,-1.000000000000000000000000000000,0.689999999999999946709294817992,0.397384615384615391686651264536,5679539.000000000000000000000000000000,764_0,COMPLETED,SOBOL,10.000000000000000000000000000000,20.050000000000000710542735760100,738,97,0.220772971540689477709662469351,0.457877653954550600801098880765,876,EDFSMode.RANDOM
765,1753431071.000000000000000000000000000000,1753431096.000000000000000000000000000000,25.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2831 n_subspaces 22 feature_percentage 0.5066939220800996 alpha 0.787942764757201 window_size 245 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7145,15.000000000000000000000000000000,703.808593750000000000000000000000,703.808593750000000000000000000000,-1.000000000000000000000000000000,0.699999999999999955591079014994,0.979999999999999982236431605997,5679542.000000000000000000000000000000,765_0,COMPLETED,SOBOL,15.000000000000000000000000000000,52.840000000000003410605131648481,2831,22,0.506693922080099556914944969321,0.787942764757201041803114094364,245,EDFSMode.RANDOM
766,1753431100.000000000000000000000000000000,1753431138.000000000000000000000000000000,38.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3858 n_subspaces 60 feature_percentage 0.4592668071053922 alpha 0.0377901413179934 window_size 399 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7152,24.000000000000000000000000000000,707.546875000000000000000000000000,705.546875000000000000000000000000,-1.000000000000000000000000000000,0.689999999999999946709294817992,0.982153846153846155075939350354,5679546.000000000000000000000000000000,766_0,COMPLETED,SOBOL,24.000000000000000000000000000000,34.909999999999996589394868351519,3858,60,0.459266807105392194099380276384,0.037790141317993401759434135556,399,EDFSMode.RANDOM
767,1753431101.000000000000000000000000000000,1753431119.000000000000000000000000000000,18.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2202 n_subspaces 34 feature_percentage 0.7978248580135405 alpha 0.7086038876511157 window_size 667 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7147,11.000000000000000000000000000000,703.597656250000000000000000000000,703.597656250000000000000000000000,-1.000000000000000000000000000000,0.680000000000000048849813083507,0.923538461538461641353592312953,5679549.000000000000000000000000000000,767_0,COMPLETED,SOBOL,11.000000000000000000000000000000,14.220000000000000639488462184090,2202,34,0.797824858013540527679197111866,0.708603887651115704748860935069,667,EDFSMode.RANDOM
768,1753431131.000000000000000000000000000000,1753431163.000000000000000000000000000000,32.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2193 n_subspaces 61 feature_percentage 0.7154524058718235 alpha 0.42573813603259625 window_size 779 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7156,18.000000000000000000000000000000,706.156250000000000000000000000000,705.156250000000000000000000000000,-1.000000000000000000000000000000,0.680000000000000048849813083507,0.958769230769230818012260897376,5679553.000000000000000000000000000000,768_0,COMPLETED,SOBOL,18.000000000000000000000000000000,18.460000000000000852651282912120,2193,61,0.715452405871823460259406601836,0.425738136032596248270465366659,779,EDFSMode.RANDOM
