trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
991,1754108272.000000000000000000000000000000,1754108285.000000000000000000000000000000,13.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 1049 batch_size 435 gamma 8.601126743381842 alpha 0.005987752022687346 use_mmd2 False use_k2s_test False,0.000000000000000000000000000000,,i7160,1.000000000000000000000000000000,553.195312500000000000000000000000,553.195312500000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5738737.000000000000000000000000000000,991_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,1049,435,8.601126743381842132407655299176,0.005987752022687345757057109097,False,False
992,1754108290.000000000000000000000000000000,1754108315.000000000000000000000000000000,25.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 1015 batch_size 4573 gamma 6.522907835680061 alpha 0.024798523370176555 use_mmd2 True use_k2s_test False,0.000000000000000000000000000000,,i7183,6.000000000000000000000000000000,572.789062500000000000000000000000,557.992187500000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5738741.000000000000000000000000000000,992_0,COMPLETED,SOBOL,6.000000000000000000000000000000,0.000000000000000000000000000000,1015,4573,6.522907835680061161554021964548,0.024798523370176555474797552847,True,False
993,1754108311.000000000000000000000000000000,1754110542.000000000000000000000000000000,2231.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 4296 batch_size 2093 gamma 1.388898084403947 alpha 0.02622293224791065 use_mmd2 False use_k2s_test True,0.000000000000000000000000000000,,i7160,2220.000000000000000000000000000000,962.421875000000000000000000000000,876.253348214285665562783833593130,-1.000000000000000000000000000000,0.340000000000000024424906541753,1.319874999999999909405801190587,5738746.000000000000000000000000000000,993_0,COMPLETED,SOBOL,2220.000000000000000000000000000000,7.990000000000000213162820728030,4296,2093,1.388898084403946908693683326419,0.026222932247910651221145528211,False,True
994,1754108330.000000000000000000000000000000,1754110188.000000000000000000000000000000,1858.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 3240 batch_size 3095 gamma 7.554791270332411 alpha 0.009596909121144564 use_mmd2 False use_k2s_test True,0.000000000000000000000000000000,,i7158,1848.000000000000000000000000000000,1441.234375000000000000000000000000,1201.259629846256757446099072694778,-1.000000000000000000000000000000,0.320000000000000006661338147751,1.297625000000000028421709430404,5738751.000000000000000000000000000000,994_0,COMPLETED,SOBOL,1848.000000000000000000000000000000,3.290000000000000035527136788005,3240,3095,7.554791270332411379229142767144,0.009596909121144563820093864592,False,True
995,1754108364.000000000000000000000000000000,1754108413.000000000000000000000000000000,49.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 1522 batch_size 615 gamma 2.6606310415593906 alpha 0.04220042252726853 use_mmd2 True use_k2s_test False,0.000000000000000000000000000000,,i7116,28.000000000000000000000000000000,1148.796875000000000000000000000000,690.032812499999977262632455676794,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.076874999999999998889776975375,5738758.000000000000000000000000000000,995_0,COMPLETED,SOBOL,28.000000000000000000000000000000,4.500000000000000000000000000000,1522,615,2.660631041559390563833176202024,0.042200422527268528771760003337,True,False
996,1754108370.000000000000000000000000000000,1754108402.000000000000000000000000000000,32.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 2354 batch_size 3159 gamma 0.7819243635265157 alpha 0.04995290431566537 use_mmd2 True use_k2s_test False,0.000000000000000000000000000000,,i7157,17.000000000000000000000000000000,2208.136718750000000000000000000000,972.807617187500000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.394874999999999976019182668097,5738763.000000000000000000000000000000,996_0,COMPLETED,SOBOL,17.000000000000000000000000000000,6.599999999999999644728632119950,2354,3159,0.781924363526515731059873814957,0.049952904315665368206733631951,True,False
997,,,,,,,,,,,,,,,997_0,RUNNING,SOBOL,,,2823,641,5.881299550013617150057143589947,0.001929027960170060472522290951,False,True
998,1754108413.000000000000000000000000000000,1754110827.000000000000000000000000000000,2414.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 4660 batch_size 4176 gamma 4.546618751170114 alpha 0.034023747979197654 use_mmd2 False use_k2s_test True,0.000000000000000000000000000000,,i7115,2402.000000000000000000000000000000,2158.441406250000000000000000000000,1660.681269369834808458108454942703,-1.000000000000000000000000000000,0.340000000000000024424906541753,1.316124999999999989341858963598,5738776.000000000000000000000000000000,998_0,COMPLETED,SOBOL,2402.000000000000000000000000000000,7.070000000000000284217094304040,4660,4176,4.546618751170114158810520166298,0.034023747979197653534821910171,False,True
999,1754108429.000000000000000000000000000000,1754108454.000000000000000000000000000000,25.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 129 batch_size 1658 gamma 9.417130799370819 alpha 0.01708229646459222 use_mmd2 True use_k2s_test False,0.000000000000000000000000000000,,i7115,12.000000000000000000000000000000,2291.035156250000000000000000000000,993.133789062500000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5738782.000000000000000000000000000000,999_0,COMPLETED,SOBOL,12.000000000000000000000000000000,0.000000000000000000000000000000,129,1658,9.417130799370818650118053483311,0.017082296464592219148448393184,True,False
1000,1754108458.000000000000000000000000000000,1754108483.000000000000000000000000000000,25.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier HDDDM recent_samples_size 545 batch_size 2715 gamma 3.822019148604013 alpha 0.005677477298304439 use_mmd2 False use_k2s_test False,0.000000000000000000000000000000,,i7114,0.000000000000000000000000000000,549.523437500000000000000000000000,549.523437500000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5738788.000000000000000000000000000000,1000_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,545,2715,3.822019148604013150105629392783,0.005677477298304438660392357008,False,False
