trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
7942,1754085375.000000000000000000000000000000,1754085575.000000000000000000000000000000,200.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1115 feature_id 3 p 116 big_windowSize 699 small_windowSize 53,0.000000000000000000000000000000,,i7186,5736429.000000000000000000000000000000,188.000000000000000000000000000000,550.699218750000000000000000000000,550.699218750000000000000000000000,-1.000000000000000000000000000000,0.320000000000000006661338147751,0.000000000000000000000000000000,7942_0,COMPLETED,SOBOL,188.000000000000000000000000000000,0.000000000000000000000000000000,1115,3,116,699,53
7943,,,,,,,,,,,,,,,7943_0,ABANDONED,SOBOL,,,4405,1,397,1329,1583
7944,,,,,,,,,,,,,,,7944_0,ABANDONED,SOBOL,,,4696,3,81,1716,479
7945,,,,,,,,,,,,,,,7945_0,ABANDONED,SOBOL,,,782,1,424,321,1883
7946,,,,,,,,,,,,,,,7946_0,ABANDONED,SOBOL,,,1458,4,137,1391,1104
7947,,,,,,,,,,,,,,,7947_0,ABANDONED,SOBOL,,,2871,2,352,522,512
7948,,,,,,,,,,,,,,,7948_0,ABANDONED,SOBOL,,,3158,4,485,954,844
7949,,,,,,,,,,,,,,,7949_0,ABANDONED,SOBOL,,,2379,1,19,1073,1311
7950,,,,,,,,,,,,,,,7950_0,ABANDONED,SOBOL,,,534,2,291,129,1715
7951,1754086025.000000000000000000000000000000,1754086336.000000000000000000000000000000,311.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 3814 feature_id 0 p 199 big_windowSize 1774 small_windowSize 186,0.000000000000000000000000000000,,i7186,5736486.000000000000000000000000000000,302.000000000000000000000000000000,553.835937500000000000000000000000,550.563210227272747943061403930187,-1.000000000000000000000000000000,0.299999999999999988897769753748,0.000000000000000000000000000000,7951_0,COMPLETED,SOBOL,302.000000000000000000000000000000,0.000000000000000000000000000000,3814,0,199,1774,186
7952,,,,,,,,,,,,,,,7952_0,ABANDONED,SOBOL,,,4031,2,408,648,1174
7953,,,,,,,,,,,,,,,7953_0,ABANDONED,SOBOL,,,431,0,66,1263,708
7954,,,,,,,,,,,,,,,7954_0,ABANDONED,SOBOL,,,2278,4,368,443,299
7955,,,,,,,,,,,,,,,7955_0,ABANDONED,SOBOL,,,3379,1,152,1593,1829
7956,,,,,,,,,,,,,,,7956_0,ABANDONED,SOBOL,,,3119,4,4,1901,1504
7957,,,,,,,,,,,,,,,7957_0,ABANDONED,SOBOL,,,1402,1,470,3,101
7958,,,,,,,,,,,,,,,7958_0,ABANDONED,SOBOL,,,729,3,213,1197,883
7959,,,,,,,,,,,,,,,7959_0,ABANDONED,SOBOL,,,4946,0,307,832,1475
7960,,,,,,,,,,,,,,,7960_0,ABANDONED,SOBOL,,,4613,4,249,218,590
7961,,,,,,,,,,,,,,,7961_0,ABANDONED,SOBOL,,,1022,1,280,1816,1058
7962,,,,,,,,,,,,,,,7962_0,ABANDONED,SOBOL,,,1697,3,39,888,1961
7963,,,,,,,,,,,,,,,7963_0,ABANDONED,SOBOL,,,2788,0,442,1022,432
7964,1754086081.000000000000000000000000000000,1754086448.000000000000000000000000000000,367.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 3710 feature_id 3 p 341 big_windowSize 1457 small_windowSize 233,0.000000000000000000000000000000,,i7184,5736492.000000000000000000000000000000,353.000000000000000000000000000000,550.781250000000000000000000000000,550.781250000000000000000000000000,-1.000000000000000000000000000000,0.320000000000000006661338147751,0.000000000000000000000000000000,7964_0,COMPLETED,SOBOL,353.000000000000000000000000000000,0.000000000000000000000000000000,3710,3,341,1457,233
7965,,,,,,,,,,,,,,,7965_0,ABANDONED,SOBOL,,,1983,0,187,573,1637
7966,,,,,,,,,,,,,,,7966_0,ABANDONED,SOBOL,,,139,4,381,1627,1358
7967,,,,,,,,,,,,,,,7967_0,ABANDONED,SOBOL,,,4366,2,101,278,766
7968,,,,,,,,,,,,,,,7968_0,ABANDONED,SOBOL,,,4231,3,128,862,1606
7969,,,,,,,,,,,,,,,7969_0,ABANDONED,SOBOL,,,20,0,345,1227,14
7970,,,,,,,,,,,,,,,7970_0,ABANDONED,SOBOL,,,1923,4,90,33,983
7971,,,,,,,,,,,,,,,7971_0,ABANDONED,SOBOL,,,3633,2,431,1931,1391
7972,,,,,,,,,,,,,,,7972_0,ABANDONED,SOBOL,,,2683,3,282,1625,1214
7973,,,,,,,,,,,,,,,7973_0,ABANDONED,SOBOL,,,1586,1,191,476,683
7974,,,,,,,,,,,,,,,7974_0,ABANDONED,SOBOL,,,1009,2,494,1295,337
7975,,,,,,,,,,,,,,,7975_0,ABANDONED,SOBOL,,,4606,0,26,680,1806
7976,,,,,,,,,,,,,,,7976_0,ABANDONED,SOBOL,,,4899,4,467,309,131
7977,,,,,,,,,,,,,,,7977_0,ABANDONED,SOBOL,,,679,2,61,1657,1724
7978,,,,,,,,,,,,,,,7978_0,ABANDONED,SOBOL,,,1254,3,255,603,1258
7979,,,,,,,,,,,,,,,7979_0,ABANDONED,SOBOL,,,2975,1,227,1487,851
7980,,,,,,,,,,,,,,,7980_0,ABANDONED,SOBOL,,,3343,2,125,1055,550
7981,,,,,,,,,,,,,,,7981_0,ABANDONED,SOBOL,,,2256,0,404,920,1082
7982,,,,,,,,,,,,,,,7982_0,ABANDONED,SOBOL,,,350,4,164,1848,1923
