trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,const,max_depth,threshold
290,1754000667.000000000000000000000000000000,1754000692.000000000000000000000000000000,25.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 2225 n_samples 709 const 1.4398101487290114 max_depth 6 threshold 0.6120236236583442,0.000000000000000000000000000000,,i7116,7.000000000000000000000000000000,552.613281250000000000000000000000,552.613281250000000000000000000000,-1.000000000000000000000000000000,0.320000000000000006661338147751,1.600000000000000088817841970013,5724130.000000000000000000000000000000,290_0,COMPLETED,SOBOL,7.000000000000000000000000000000,11.539999999999999147348717087880,2225,709,1.439810148729011363144536517211,6,0.612023623658344173570355906122
291,,,,,,,,,,,,,,,291_0,RUNNING,SOBOL,,,3892,2714,9.130126071481965865928032144438,12,0.252054941847920432884677666152
292,1754000699.000000000000000000000000000000,1754001405.000000000000000000000000000000,706.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4392 n_samples 473 const 5.052601374695078 max_depth 14 threshold 0.38495187190547586,0.000000000000000000000000000000,,i7159,691.000000000000000000000000000000,559.902343750000000000000000000000,554.207899305555542923684697598219,-1.000000000000000000000000000000,0.320000000000000006661338147751,1.562875000000000014210854715202,5724136.000000000000000000000000000000,292_0,COMPLETED,SOBOL,691.000000000000000000000000000000,13.699999999999999289457264239900,4392,473,5.052601374695077751653116138186,14,0.384951871905475861979084584164
293,1754000698.000000000000000000000000000000,1754012896.000000000000000000000000000000,12198.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1681 n_samples 3565 const 2.9782593241585418 max_depth 10 threshold 0.7442506213057786,0.000000000000000000000000000000,,i7114,12178.000000000000000000000000000000,551.089843750000000000000000000000,487.269588930475777033279882743955,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.000000000000000000000000000000,5724139.000000000000000000000000000000,293_0,COMPLETED,SOBOL,12178.000000000000000000000000000000,0.000000000000000000000000000000,1681,3565,2.978259324158541776483843932510,10,0.744250621305778570224731538474
294,,,,,,,,,,,,,,,294_0,RUNNING,SOBOL,,,1096,2418,8.525342946807853650170727632940,17,0.913174435058608624515841256652
295,1754000727.000000000000000000000000000000,1754000739.000000000000000000000000000000,12.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 2789 n_samples 4170 const 0.911927206421271 max_depth 1 threshold 0.20819974509999156,0.000000000000000000000000000000,,i7116,0.000000000000000000000000000000,552.687500000000000000000000000000,552.687500000000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.348625000000000018207657603853,5724149.000000000000000000000000000000,295_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.619999999999999995559107901499,2789,4170,0.911927206421271008274231917312,1,0.208199745099991562202745853938
296,1754000727.000000000000000000000000000000,1754001924.000000000000000000000000000000,1197.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 2960 n_samples 1009 const 7.641549652446062 max_depth 8 threshold 0.8345996455829591,0.000000000000000000000000000000,,i7112,1175.000000000000000000000000000000,555.523437500000000000000000000000,527.029361979166651508421637117863,-1.000000000000000000000000000000,0.340000000000000024424906541753,1.542000000000000037303493627405,5724150.000000000000000000000000000000,296_0,COMPLETED,SOBOL,1175.000000000000000000000000000000,17.809999999999998721023075631820,2960,1009,7.641549652446061990929138119100,8,0.834599645582959070999606865371
297,1754000727.000000000000000000000000000000,1754000752.000000000000000000000000000000,25.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 652 n_samples 3068 const 0.5848708682665602 max_depth 14 threshold 0.03630039736628533,0.000000000000000000000000000000,,i7112,7.000000000000000000000000000000,551.382812500000000000000000000000,551.382812500000000000000000000000,-1.000000000000000000000000000000,0.330000000000000015543122344752,0.163000000000000005995204332976,5724153.000000000000000000000000000000,297_0,COMPLETED,SOBOL,7.000000000000000000000000000000,2.180000000000000159872115546023,652,3068,0.584870868266560206549797840125,14,0.036300397366285326594681492907
298,1754000729.000000000000000000000000000000,1754000848.000000000000000000000000000000,119.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1550 n_samples 1570 const 5.975416460619309 max_depth 3 threshold 0.36875208242982627,0.000000000000000000000000000000,,i7111,97.000000000000000000000000000000,550.171875000000000000000000000000,550.171875000000000000000000000000,-1.000000000000000000000000000000,0.340000000000000024424906541753,0.387500000000000011102230246252,5724155.000000000000000000000000000000,298_0,COMPLETED,SOBOL,97.000000000000000000000000000000,2.180000000000000159872115546023,1550,1570,5.975416460619308978152730560396,3,0.368752082429826266718464466976
299,,,,,,,,,,,,,,,299_0,RUNNING,SOBOL,,,4875,4979,3.344335069928318304732783872169,16,0.509976273572072424933310230699
