trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
57,,,,,,,,,,,,,,,57_0,FAILED,SOBOL,,,1760,3910,22,430,0.282923261590302010937136856228
58,,,,,,,,,,,,,,,58_0,FAILED,SOBOL,,,386,1844,83,635,0.199972965139895680897197394188
59,,,,,,,,,,,,,,,59_0,FAILED,SOBOL,,,3269,2988,39,47,0.955021798525005571889323618961
60,,,,,,,,,,,,,,,60_0,FAILED,SOBOL,,,2855,2304,9,199,0.842098964210599709723226169444
61,,,,,,,,,,,,,,,61_0,RUNNING,SOBOL,,,759,3506,64,606,0.065121345531195404254809488975
62,,,,,,,,,,,,,,,62_0,RUNNING,SOBOL,,,2176,728,32,331,0.418765588819980605350679070398
63,,,,,,,,,,,,,,,63_0,RUNNING,SOBOL,,,4289,4448,98,989,0.673900800272822397829486362753
64,,,,,,,,,,,,,,,64_0,COMPLETED,SOBOL,1829.000000000000000000000000000000,1.839999999999999857891452847980,4249,28,28,437,0.908463243406265941182198275783
65,,,,,,,,,,,,,,,65_0,RUNNING,SOBOL,,,2137,3905,95,774,0.186002970483154062009134577238
66,,,,,,,,,,,,,,,66_0,RUNNING,SOBOL,,,719,1596,12,38,0.329192501857876795856583385103
67,,,,,,,,,,,,,,,67_0,RUNNING,SOBOL,,,2816,2953,67,626,0.576469791382551166591952096496
68,,,,,,,,,,,,,,,68_0,RUNNING,SOBOL,,,3230,2388,87,599,0.690615780092775799481330523122
69,,,,,,,,,,,,,,,69_0,RUNNING,SOBOL,,,347,3686,42,192,0.466241617552936082891079649926
70,,,,,,,,,,,,,,,70_0,RUNNING,SOBOL,,,1721,840,53,998,0.047964783016592266173816483388
71,,,,,,,,,,,,,,,71_0,RUNNING,SOBOL,,,4629,4619,20,340,0.795277788329869506078750873712
72,,,,,,,,,,,,,,,72_0,RUNNING,SOBOL,,,4866,1292,60,144,0.237771061137318606704127432749
73,,,,,,,,,,,,,,,73_0,RUNNING,SOBOL,,,1523,2590,13,551,0.979721499055624001073283579899
74,,,,,,,,,,,,,,,74_0,RUNNING,SOBOL,,,85,368,81,261,0.501296799223870048756168671389
75,,,,,,,,,,,,,,,75_0,RUNNING,SOBOL,,,3451,4148,49,919,0.281310594704002159271993832590
76,,,,,,,,,,,,,,,76_0,RUNNING,SOBOL,,,2613,1119,5,822,0.393273869458586000646960201266
77,,,,,,,,,,,,,,,77_0,RUNNING,SOBOL,,,961,4996,73,484,0.637138434935361153144128820713
78,,,,,,,,,,,,,,,78_0,RUNNING,SOBOL,,,2354,2062,34,705,0.844869187928736220527525802027
79,,,,,,,,,,,,,,,79_0,RUNNING,SOBOL,,,3993,3419,88,117,0.124847029678523541162959986650
80,,,,,,,,,,,,,,,80_0,RUNNING,SOBOL,,,3776,1981,18,969,0.618507817752659283527805200720
81,,,,,,,,,,,,,,,81_0,RUNNING,SOBOL,,,2300,3201,61,369,0.351189334772527228523131270777
82,,,,,,,,,,,,,,,82_0,RUNNING,SOBOL,,,1174,1048,47,571,0.135726426932960747562262326937
83,,,,,,,,,,,,,,,83_0,RUNNING,SOBOL,,,2676,4750,76,221,0.894674426514655340980652908911
84,,,,,,,,,,,,,,,84_0,COMPLETED,SOBOL,1631.000000000000000000000000000000,2.229999999999999982236431605997,3702,590,72,5,0.773950657319277479651020712481
85,,,,,,,,,,,,,,,85_0,RUNNING,SOBOL,,,184,4234,1,660,0.008668128069490195486412886794
86,,,,,,,,,,,,,,,86_0,RUNNING,SOBOL,,,1266,1543,93,403,0.479238846883177749269577816449
87,,,,,,,,,,,,,,,87_0,RUNNING,SOBOL,,,4769,2666,36,808,0.738272718906402558580737149896
88,,,,,,,,,,,,,,,88_0,RUNNING,SOBOL,,,4410,744,100,739,0.289921776983886936296386238610
89,,,,,,,,,,,,,,,89_0,RUNNING,SOBOL,,,1664,4388,30,84,0.553339799959212563784660687816
90,,,,,,,,,,,,,,,90_0,RUNNING,SOBOL,,,558,2322,66,856,0.963755039341747776759916632727
91,,,,,,,,,,,,,,,91_0,FAILED,SOBOL,,,3876,2163,88,699,0.205450103342533108019551946199
92,,,,,,,,,,,,,,,92_0,FAILED,SOBOL,,,546,3487,10,184,0.584250121995806726005184827955
93,,,,,,,,,,,,,,,93_0,FAILED,SOBOL,,,2470,371,58,929,0.764005968654528300199046952912
94,,,,,,,,,,,,,,,94_0,FAILED,SOBOL,,,3203,4039,43,445,0.384346698686480525708475397551
95,,,,,,,,,,,,,,,95_0,FAILED,SOBOL,,,2607,787,22,275,0.343365458032116321884785747898
96,,,,,,,,,,,,,,,96_0,FAILED,SOBOL,,,1737,4776,76,854,0.960989310491830117655354115414
97,,,,,,,,,,,,,,,97_0,FAILED,SOBOL,,,1201,1642,31,99,0.625162718316540133578484983445
98,,,,,,,,,,,,,,,98_0,FAILED,SOBOL,,,4394,2661,71,520,0.008656993139535188938604726161
99,,,,,,,,,,,,,,,99_0,COMPLETED,SOBOL,2079.000000000000000000000000000000,1.540000000000000035527136788005,4839,115,36,753,0.511908361446112403214669939189
100,,,,,,,,,,,,,,,100_0,FAILED,SOBOL,,,825,4256,64,362,0.136961328772827989341820398295
101,,,,,,,,,,,,,,,101_0,FAILED,SOBOL,,,1556,2376,19,625,0.456216669093817472901974952038
102,,,,,,,,,,,,,,,102_0,FAILED,SOBOL,,,2855,3236,84,16,0.831992964057251760401356932562
103,,,,,,,,,,,,,,,103_0,FAILED,SOBOL,,,3531,1312,51,204,0.876906786851584962860783889482
104,,,,,,,,,,,,,,,104_0,FAILED,SOBOL,,,2056,3108,48,657,0.255429947482421981774791674979
105,,,,,,,,,,,,,,,105_0,FAILED,SOBOL,,,247,1238,97,420,0.092237738542258737584056405012
106,,,,,,,,,,,,,,,106_0,FAILED,SOBOL,,,4085,4441,6,966,0.712626438723877098091463722085
107,,,,,,,,,,,,,,,107_0,FAILED,SOBOL,,,4328,1066,68,71,0.409744530512019977663840109017
108,,,,,,,,,,,,,,,108_0,FAILED,SOBOL,,,1,4584,34,556,0.785391349848359787699791922932
109,,,,,,,,,,,,,,,109_0,FAILED,SOBOL,,,1984,1462,85,303,0.621095806909725101085939513723
110,,,,,,,,,,,,,,,110_0,FAILED,SOBOL,,,3596,2948,13,818,0.246567516382783652462151735563
111,,,,,,,,,,,,,,,111_0,FAILED,SOBOL,,,3097,2196,46,902,0.045750338228419423769466334306
112,,,,,,,,,,,,,,,112_0,FAILED,SOBOL,,,1310,3367,55,479,0.666040086247026930088566132326
113,,,,,,,,,,,,,,,113_0,COMPLETED,SOBOL,5180.000000000000000000000000000000,20.039999999999999147348717087880,754,238,1,726,0.986139883669093220142087830027
114,,,,,,,,,,,,,,,114_0,FAILED,SOBOL,,,4905,4065,98,149,0.364990483738481974462786183722
115,,,,,,,,,,,,,,,115_0,FAILED,SOBOL,,,4617,1836,10,377,0.872870235323905951929646107601
116,,,,,,,,,,,,,,,116_0,FAILED,SOBOL,,,974,2536,94,986,0.493309991875663378380068024853
117,,,,,,,,,,,,,,,117_0,FAILED,SOBOL,,,1646,659,39,247,0.158586257815361036938028860277
118,,,,,,,,,,,,,,,118_0,FAILED,SOBOL,,,2692,4953,61,637,0.537058912316337178083358594449
119,,,,,,,,,,,,,,,119_0,FAILED,SOBOL,,,3426,529,81,582,0.734011797610670368996466095268
120,,,,,,,,,,,,,,,120_0,FAILED,SOBOL,,,2244,3891,22,35,0.117635473703965542924265719193
121,,,,,,,,,,,,,,,121_0,FAILED,SOBOL,,,455,2018,74,796,0.296547339145094179801986911116
122,,,,,,,,,,,,,,,122_0,FAILED,SOBOL,,,3961,3661,27,343,0.913752375101670621937444138894
123,,,,,,,,,,,,,,,123_0,COMPLETED,SOBOL,3364.000000000000000000000000000000,8.300000000000000710542735760100,3991,433,17,126,0.032167006338015197153268331931
124,,,,,,,,,,,,,,,124_0,FAILED,SOBOL,,,349,3948,82,736,0.648436453506350485298526109545
125,,,,,,,,,,,,,,,125_0,FAILED,SOBOL,,,2272,2079,37,498,0.937470614278689051701576318010
126,,,,,,,,,,,,,,,126_0,FAILED,SOBOL,,,3317,3562,65,888,0.320097788497805568752596627746
127,,,,,,,,,,,,,,,127_0,FAILED,SOBOL,,,2800,1580,94,831,0.392262604972347606047122781092
128,,,,,,,,,,,,,,,128_0,FAILED,SOBOL,,,1618,2752,4,284,0.771686072815209622710597159312
129,,,,,,,,,,,,,,,129_0,FAILED,SOBOL,,,1081,872,53,547,0.576324818870052713037921421346
130,,,,,,,,,,,,,,,130_0,FAILED,SOBOL,,,4586,4700,49,94,0.197776301849633462381916615414
131,,,,,,,,,,,,,,,131_0,FAILED,SOBOL,,,4952,2447,58,322,0.689118685971945477142241998081
132,,,,,,,,,,,,,,,132_0,FAILED,SOBOL,,,626,3154,42,807,0.068965787915512916095295281593
133,,,,,,,,,,,,,,,133_0,ABANDONED,SOBOL,,,1360,20,90,52,0.278943290006369359890214809639
134,,,,,,,,,,,,,,,134_0,FAILED,SOBOL,,,2971,4321,12,567,0.900168626813217964688362826564
135,,,,,,,,,,,,,,,135_0,FAILED,SOBOL,,,3721,1167,29,653,0.824078604392707303460952061869
136,,,,,,,,,,,,,,,136_0,FAILED,SOBOL,,,1935,4523,70,230,0.448538587437942615210317853780
137,,,,,,,,,,,,,,,137_0,FAILED,SOBOL,,,130,1406,25,975,0.144880564384162413560375171073
138,,,,,,,,,,,,,,,138_0,FAILED,SOBOL,,,4280,3043,78,398,0.519576570378616486856060419086
139,,,,,,,,,,,,,,,139_0,FAILED,SOBOL,,,4213,1525,40,504,0.357071248127147577999807026572
140,,,,,,,,,,,,,,,140_0,FAILED,SOBOL,,,200,2856,62,113,0.978471674736589247522999812645
141,,,,,,,,,,,,,,,141_0,FAILED,SOBOL,,,2182,983,7,874,0.673954445911571387028971003019
142,,,,,,,,,,,,,,,142_0,FAILED,SOBOL,,,3480,4658,91,265,0.053428419884294274522229528657
143,,,,,,,,,,,,,,,143_0,COMPLETED,SOBOL,2274.000000000000000000000000000000,0.770000000000000017763568394003,2905,175,74,455,0.223054173858836302102304216533
144,,,,,,,,,,,,,,,144_0,FAILED,SOBOL,,,1430,4157,27,908,0.597833966948091988236058114126
145,,,,,,,,,,,,,,,145_0,FAILED,SOBOL,,,873,2280,79,169,0.808899102600291408649013646937
146,,,,,,,,,,,,,,,146_0,FAILED,SOBOL,,,4711,3292,20,716,0.433016481138765785274813424621
147,,,,,,,,,,,,,,,147_0,FAILED,SOBOL,,,4500,731,88,949,0.921677678227424634904707545502
148,,,,,,,,,,,,,,,148_0,FAILED,SOBOL,,,1170,4870,16,433,0.304221139708533871992557351405
149,,,,,,,,,,,,,,,149_0,FAILED,SOBOL,,,1846,1742,67,680,0.109719567418098448707830527837
150,,,,,,,,,,,,,,,150_0,FAILED,SOBOL,,,2578,2599,33,196,0.726331693449988935462613426353
151,,,,,,,,,,,,,,,151_0,FAILED,SOBOL,,,3231,1946,3,24,0.560577608529478355059438854369
152,,,,,,,,,,,,,,,152_0,FAILED,SOBOL,,,2362,3744,100,603,0.181853927349671734559066749171
153,,,,,,,,,,,,,,,153_0,FAILED,SOBOL,,,577,622,46,350,0.469799978677183371900127895060
154,,,,,,,,,,,,,,,154_0,FAILED,SOBOL,,,3770,3827,55,771,0.849596500134095600209604981501
155,,,,,,,,,,,,,,,155_0,FAILED,SOBOL,,,3820,901,48,423,0.641408688008785254908161732601
156,,,,,,,,,,,,,,,156_0,FAILED,SOBOL,,,588,4730,51,938,0.023052729705348610350634785959
157,,,,,,,,,,,,,,,157_0,FAILED,SOBOL,,,2414,1609,5,201,0.326714554250240318822307017399
158,,,,,,,,,,,,,,,158_0,FAILED,SOBOL,,,3243,2781,96,686,0.945899306396022487852803806163
159,,,,,,,,,,,,,,,159_0,FAILED,SOBOL,,,2512,2049,63,597,0.780297623161226527876976888365
160,,,,,,,,,,,,,,,160_0,FAILED,SOBOL,,,1819,3533,35,19,0.398818576609715813585665955543
161,,,,,,,,,,,,,,,161_0,FAILED,SOBOL,,,1105,404,84,782,0.188844883445650341124988358388
162,,,,,,,,,,,,,,,162_0,FAILED,SOBOL,,,4474,3919,18,359,0.569236259257420940116389829200
163,,,,,,,,,,,,,,,163_0,FAILED,SOBOL,,,4732,1358,77,119,0.075947987569496042126182544507
164,,,,,,,,,,,,,,,164_0,FAILED,SOBOL,,,934,2994,24,509,0.698156464334577342434329239040
165,,,,,,,,,,,,,,,165_0,FAILED,SOBOL,,,1453,1118,72,255,0.893506295217201151892538746324
166,,,,,,,,,,,,,,,166_0,FAILED,SOBOL,,,2966,4474,31,864,0.270438099619001171003418448890
167,,,,,,,,,,,,,,,167_0,COMPLETED,SOBOL,1325.000000000000000000000000000000,3.410000000000000142108547152020,3463,69,11,918,0.439972602935507883792354277830
168,,,,,,,,,,,,,,,168_0,FAILED,SOBOL,,,2125,4370,89,465,0.817599131025373959680280222528
169,,,,,,,,,,,,,,,169_0,FAILED,SOBOL,,,183,2496,44,710,0.528553554626181698594677982328
170,,,,,,,,,,,,,,,170_0,FAILED,SOBOL,,,4158,3203,60,163,0.152045622266829022484202482701
171,,,,,,,,,,,,,,,171_0,FAILED,SOBOL,,,4228,2309,22,801,0.971428621482104071027663394489
172,,,,,,,,,,,,,,,172_0,FAILED,SOBOL,,,117,3322,81,317,0.347972140280529862454983458520
173,,,,,,,,,,,,,,,173_0,COMPLETED,SOBOL,3397.000000000000000000000000000000,1.370000000000000106581410364015,1884,204,26,578,0.060029897879809140937013012262
174,,,,,,,,,,,,,,,174_0,FAILED,SOBOL,,,3710,4186,73,61,0.682398306814953725663031036675
175,,,,,,,,,,,,,,,175_0,FAILED,SOBOL,,,3036,954,93,221,0.606460686080157795885270388681
176,,,,,,,,,,,,,,,176_0,FAILED,SOBOL,,,1386,4629,9,642,0.229594857739284646802602196658
177,,,,,,,,,,,,,,,177_0,FAILED,SOBOL,,,693,1496,61,403,0.424100231520831594256293328726
178,,,,,,,,,,,,,,,178_0,FAILED,SOBOL,,,4979,2827,39,982,0.801795255230739689622510013578
179,,,,,,,,,,,,,,,179_0,FAILED,SOBOL,,,4564,574,57,745,0.311188170576468137173975492260
180,,,,,,,,,,,,,,,180_0,FAILED,SOBOL,,,1019,3778,47,136,0.930730744346976224257161902642
181,,,,,,,,,,,,,,,181_0,FAILED,SOBOL,,,1597,1897,98,883,0.719654193067923220183956800611
182,,,,,,,,,,,,,,,182_0,FAILED,SOBOL,,,2739,3695,2,492,0.101229664787650108781491553600
183,,,,,,,,,,,,,,,183_0,FAILED,SOBOL,,,3333,1791,34,290,0.173303230604156865979348367546
184,,,,,,,,,,,,,,,184_0,FAILED,SOBOL,,,2328,2648,69,836,0.554082966376095997773632007011
185,,,,,,,,,,,,,,,185_0,COMPLETED,SOBOL,9341.000000000000000000000000000000,64.750000000000000000000000000000,367,780,14,84,0.858588772138580647030892123439
186,,,,,,,,,,,,,,,186_0,FAILED,SOBOL,,,4048,4919,86,537,0.476949867773801106096698276815
187,,,,,,,,,,,,,,,187_0,FAILED,SOBOL,,,3940,1690,70,996,0.592754955470562006070167626604
188,,,,,,,,,,,,,,,188_0,FAILED,SOBOL,,,394,2710,29,387,0.212112552979961038746026247281
189,,,,,,,,,,,,,,,189_0,FAILED,SOBOL,,,2221,836,77,632,0.375308563411235807105725825750
190,,,,,,,,,,,,,,,190_0,FAILED,SOBOL,,,3364,4824,24,241,0.757023887971416065134633299749
191,,,,,,,,,,,,,,,191_0,COMPLETED,SOBOL,885.000000000000000000000000000000,1.609999999999999875655021241982,2709,322,41,41,0.953824609521776389797764750256
192,,,,,,,,,,,,,,,192_0,FAILED,SOBOL,,,1703,3990,57,588,0.334388354813680066524028688946
193,,,,,,,,,,,,,,,193_0,FAILED,SOBOL,,,991,2114,12,333,0.015136823419481516134199594603
194,,,,,,,,,,,,,,,194_0,FAILED,SOBOL,,,4672,3438,90,786,0.633728583848103932396611526201
195,,,,,,,,,,,,,,,195_0,FAILED,SOBOL,,,4854,1209,5,550,0.128532279742881644368779348042
196,,,,,,,,,,,,,,,196_0,FAILED,SOBOL,,,742,4412,96,66,0.505291714664548585744796582730
197,,,,,,,,,,,,,,,197_0,FAILED,SOBOL,,,1258,1282,50,829,0.841106883777305469607199484017
198,,,,,,,,,,,,,,,198_0,FAILED,SOBOL,,,3084,3079,53,312,0.463244553562253691403327593434
199,,,,,,,,,,,,,,,199_0,FAILED,SOBOL,,,3663,2405,83,470,0.262518864007666719029288060483
200,,,,,,,,,,,,,,,200_0,FAILED,SOBOL,,,2012,3265,17,891,0.885838086284697068251148266427
201,,,,,,,,,,,,,,,201_0,COMPLETED,SOBOL,657.000000000000000000000000000000,0.830000000000000071054273576010,66,144,66,154,0.706070823999121799374734109733
202,,,,,,,,,,,,,,,202_0,FAILED,SOBOL,,,4354,4286,38,733,0.083626069225370885940051834950
203,,,,,,,,,,,,,,,203_0,COMPLETED,SOBOL,4582.000000000000000000000000000000,1.010000000000000008881784197001,4108,287,100,368,0.793880895566195232682105142885
204,,,,,,,,,,,,,,,204_0,FAILED,SOBOL,,,309,4114,3,758,0.416422149864956736564636230469
205,,,,,,,,,,,,,,,205_0,COMPLETED,SOBOL,10888.000000000000000000000000000000,17.420000000000001705302565824240,2077,2245,54,6,0.237514093350619071021156969437
206,,,,,,,,,,,,,,,206_0,FAILED,SOBOL,,,3591,3415,45,615,0.614128895012661768504358406062
207,,,,,,,,,,,,,,,207_0,FAILED,SOBOL,,,2838,1413,15,667,0.658890554063022104713809312670
208,,,,,,,,,,,,,,,208_0,FAILED,SOBOL,,,1500,2899,87,214,0.036757947253063319448251888844
209,,,,,,,,,,,,,,,209_0,FAILED,SOBOL,,,808,1017,32,961,0.371485482804477240570406593179
210,,,,,,,,,,,,,,,210_0,FAILED,SOBOL,,,4783,4535,67,414,0.994690461443737183877544794086
211,,,,,,,,,,,,,,,211_0,FAILED,SOBOL,,,4446,1989,28,174,0.484865774059668186435345660357
212,,,,,,,,,,,,,,,212_0,FAILED,SOBOL,,,1213,3632,75,689,0.866268876299262080564744792355
213,,,,,,,,,,,,,,,213_0,FAILED,SOBOL,,,1788,499,20,450,0.546157663250341984806368600402
214,,,,,,,,,,,,,,,214_0,FAILED,SOBOL,,,2618,3862,80,935,0.165629430040717118277626695999
215,,,,,,,,,,,,,,,215_0,FAILED,SOBOL,,,3137,688,63,848,0.124739677986130115261431683393
216,,,,,,,,,,,,,,,216_0,FAILED,SOBOL,,,2444,4982,41,270,0.742927928257733571903997926711
217,,,,,,,,,,,,,,,217_0,FAILED,SOBOL,,,479,1865,93,531,0.907212048133835158303384105238
218,,,,,,,,,,,,,,,218_0,FAILED,SOBOL,,,3849,2565,8,108,0.287920501042157439552937603366
219,,,,,,,,,,,,,,,219_0,ABANDONED,SOBOL,,,3841,19,60,621,0.950282546477392298100994594279
220,,,,,,,,,,,,,,,220_0,FAILED,SOBOL,,,491,4313,38,12,0.322332741819322088350219246422
221,,,,,,,,,,,,,,,221_0,FAILED,SOBOL,,,2437,2436,93,757,0.017720332579687237545273958972
222,,,,,,,,,,,,,,,222_0,FAILED,SOBOL,,,3150,3136,9,366,0.646742512784898249122989000170
223,,,,,,,,,,,,,,,223_0,FAILED,SOBOL,,,2650,1368,26,416,0.562912842212244912687424402975
224,,,,,,,,,,,,,,,224_0,FAILED,SOBOL,,,1761,3012,73,963,0.195169728141278031596783648638
225,,,,,,,,,,,,,,,225_0,RUNNING,SOBOL,,,1245,1139,21,208,0.406109234271571029051273171717
226,,,,,,,,,,,,,,,226_0,RUNNING,SOBOL,,,4419,4501,81,662,0.773008393149822947698623920587
227,,,,,,,,,,,,,,,227_0,RUNNING,SOBOL,,,4795,2101,14,924,0.269940210241824407599864343865
228,,,,,,,,,,,,,,,228_0,RUNNING,SOBOL,,,800,3588,86,441,0.894006564011797344448950752849
229,,,,,,,,,,,,,,,229_0,RUNNING,SOBOL,,,1513,466,35,703,0.699638250250369297944530444511
230,,,,,,,,,,,,,,,230_0,RUNNING,SOBOL,,,2831,3983,69,187,0.074468581071123488013263624907
231,,,,,,,,,,,,,,,231_0,RUNNING,SOBOL,,,3564,888,99,95,0.154487495675683011997492144474
232,,,,,,,,,,,,,,,232_0,RUNNING,SOBOL,,,2109,4714,2,517,0.526114060634747193745397453313
233,,,,,,,,,,,,,,,233_0,RUNNING,SOBOL,,,282,1586,56,279,0.814162891641259212072156969953
234,,,,,,,,,,,,,,,234_0,RUNNING,SOBOL,,,4140,2756,47,858,0.443411221737042060553335431905
235,,,,,,,,,,,,,,,235_0,RUNNING,SOBOL,,,4361,1736,84,243,0.683839635198935869020431255194
